cbro_id,scientific_name,genus,species_epithet,family,order,portuguese_name,english_name_cbro,occurrence,endemic_brazil,extinct,introduced,status_uncertain,origin_directions,status_raw,english_name_ebird,ebird_species_code,ebird_matched,ebird_match_method,name_disputed,english_name_avilist,avilist_matched,avilist_match_method,name_disputed_avilist,model,run_started_at_utc,dataset_sha256,config_sha256,prompt_sha256,git_commit,python_version,requests_version,batch_id,execution_mode,model_response,finish_reason,truncated,reasoning_config,effective_reasoning_config,benchmark_mode,resolved_model,generation_id,request_id,provider,response_created,requested_at_utc,latency_ms,prompt_tokens,completion_tokens,total_tokens,error,normalized_response,normalized_target,exact_match,acceptable_match,match_source,generation_status,taxonomic_distance,error_type
CBRO#0004,Rhea americana,Rhea,americana,Rheidae,Rheiformes,ema,Greater Rhea,BR,False,False,False,False,,BR,Greater Rhea,grerhe1,True,binomial,False,Greater Rhea,True,binomial,False,anthropic/claude-fable-5.1,2026-09-02T14:52:27.253959+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,b6947a26a2864f39656f96d03ae57bc94d90696c5411b6cde8a7962f5dbfe7c9,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,38a51d5ae9c960fe734cfcdf7c93914502b61c96,3.12.3,2.34.2,batch-1788360747-pYewfOMczkxJrDOjPz8M,openrouter_batch_sequence,Greater Rhea,stop,False,"{""effort"": ""low""}","accepted_not_echoed_by_api:{""effort"": ""low""}",reasoning,anthropic/claude-fable-5.1,gen-batch-1788360747-8b4ac900d10d1ac56ff4,,Anthropic,1788361273,2026-09-02T15:01:46.781048+00:00,0,67,9,76,,greater rhea,greater rhea,True,True,cbro;ebird;avilist,complete,0,correct
CBRO#0011,Tinamus tao,Tinamus,tao,Tinamidae,Tinamiformes,azulona,Gray Tinamou,BR,False,False,False,False,,BR,Gray Tinamou,grytin1,True,binomial,False,Grey Tinamou,True,binomial,True,anthropic/claude-fable-5.1,2026-09-02T14:52:27.253959+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,b6947a26a2864f39656f96d03ae57bc94d90696c5411b6cde8a7962f5dbfe7c9,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,38a51d5ae9c960fe734cfcdf7c93914502b61c96,3.12.3,2.34.2,batch-1788360747-pYewfOMczkxJrDOjPz8M,openrouter_batch_sequence,Great Tinamou,stop,False,"{""effort"": ""low""}","accepted_not_echoed_by_api:{""effort"": ""low""}",reasoning,anthropic/claude-fable-5.1,gen-batch-1788360747-86d44db49736611d91ab,,Anthropic,1788361273,2026-09-02T15:01:46.781297+00:00,0,68,9,77,,great tinamou,gray tinamou,False,False,,complete,1,intra_genus
CBRO#0014,Tinamus solitarius,Tinamus,solitarius,Tinamidae,Tinamiformes,macuco,Solitary Tinamou,BR,False,False,False,False,,BR,Solitary Tinamou,soltin1,True,binomial,False,Solitary Tinamou,True,binomial,False,anthropic/claude-fable-5.1,2026-09-02T14:52:27.253959+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,b6947a26a2864f39656f96d03ae57bc94d90696c5411b6cde8a7962f5dbfe7c9,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,38a51d5ae9c960fe734cfcdf7c93914502b61c96,3.12.3,2.34.2,batch-1788360747-pYewfOMczkxJrDOjPz8M,openrouter_batch_sequence,Solitary Tinamou,stop,False,"{""effort"": ""low""}","accepted_not_echoed_by_api:{""effort"": ""low""}",reasoning,anthropic/claude-fable-5.1,gen-batch-1788360747-ac2a789325680a99d1c8,,Anthropic,1788361273,2026-09-02T15:01:46.781335+00:00,0,68,11,79,,solitary tinamou,solitary tinamou,True,True,cbro;ebird;avilist,complete,0,correct
CBRO#0015,Tinamus major,Tinamus,major,Tinamidae,Tinamiformes,inhambu-serra,Great Tinamou,BR,False,False,False,False,,BR,Great Tinamou,gretin1,True,binomial,False,Great Tinamou,True,binomial,False,anthropic/claude-fable-5.1,2026-09-02T14:52:27.253959+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,b6947a26a2864f39656f96d03ae57bc94d90696c5411b6cde8a7962f5dbfe7c9,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,38a51d5ae9c960fe734cfcdf7c93914502b61c96,3.12.3,2.34.2,batch-1788360747-pYewfOMczkxJrDOjPz8M,openrouter_batch_sequence,Solitary Tinamou,stop,False,"{""effort"": ""low""}","accepted_not_echoed_by_api:{""effort"": ""low""}",reasoning,anthropic/claude-fable-5.1,gen-batch-1788360747-67b8cb4d1601ef86cb64,,Anthropic,1788361273,2026-09-02T15:01:46.781359+00:00,0,72,11,83,,solitary tinamou,great tinamou,False,False,,complete,1,intra_genus
CBRO#0020,Tinamus guttatus,Tinamus,guttatus,Tinamidae,Tinamiformes,inhambu-galinha,White-throated Tinamou,BR,False,False,False,False,,BR,White-throated Tinamou,whttin1,True,binomial,False,White-throated Tinamou,True,binomial,False,anthropic/claude-fable-5.1,2026-09-02T14:52:27.253959+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,b6947a26a2864f39656f96d03ae57bc94d90696c5411b6cde8a7962f5dbfe7c9,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,38a51d5ae9c960fe734cfcdf7c93914502b61c96,3.12.3,2.34.2,batch-1788360747-pYewfOMczkxJrDOjPz8M,openrouter_batch_sequence,Grey Tinamou,stop,False,"{""effort"": ""low""}","accepted_not_echoed_by_api:{""effort"": ""low""}",reasoning,anthropic/claude-fable-5.1,gen-batch-1788360747-108a425939c14c30bbcd,,Anthropic,1788361273,2026-09-02T15:01:46.781535+00:00,0,73,10,83,,grey tinamou,white throated tinamou,False,False,,complete,1,intra_genus
CBRO#0022,Crypturellus cinereus,Crypturellus,cinereus,Tinamidae,Tinamiformes,inhambu-pixuna,Cinereous Tinamou,BR,False,False,False,False,,BR,Cinereous Tinamou,cintin1,True,binomial,False,Cinereous Tinamou,True,binomial,False,anthropic/claude-fable-5.1,2026-09-02T14:52:27.253959+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,b6947a26a2864f39656f96d03ae57bc94d90696c5411b6cde8a7962f5dbfe7c9,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,38a51d5ae9c960fe734cfcdf7c93914502b61c96,3.12.3,2.34.2,batch-1788360747-pYewfOMczkxJrDOjPz8M,openrouter_batch_sequence,Brown Tinamou,stop,False,"{""effort"": ""low""}","accepted_not_echoed_by_api:{""effort"": ""low""}",reasoning,anthropic/claude-fable-5.1,gen-batch-1788360747-0d9e5617f637fafbd52b,,Anthropic,1788361273,2026-09-02T15:01:46.781570+00:00,0,74,10,84,,brown tinamou,cinereous tinamou,False,False,,complete,1,intra_genus
CBRO#0023,Crypturellus soui,Crypturellus,soui,Tinamidae,Tinamiformes,tururim,Little Tinamou,BR,False,False,False,False,,BR,Little Tinamou,littin1,True,binomial,False,Little Tinamou,True,binomial,False,anthropic/claude-fable-5.1,2026-09-02T14:52:27.253959+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,b6947a26a2864f39656f96d03ae57bc94d90696c5411b6cde8a7962f5dbfe7c9,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,38a51d5ae9c960fe734cfcdf7c93914502b61c96,3.12.3,2.34.2,batch-1788360747-pYewfOMczkxJrDOjPz8M,openrouter_batch_sequence,Little Tinamou,stop,False,"{""effort"": ""low""}","accepted_not_echoed_by_api:{""effort"": ""low""}",reasoning,anthropic/claude-fable-5.1,gen-batch-1788360747-8b11966e5f8897a82914,,Anthropic,1788361273,2026-09-02T15:01:46.781593+00:00,0,68,64,132,,little tinamou,little tinamou,True,True,cbro;ebird;avilist,complete,0,correct
CBRO#0027,Crypturellus obsoletus,Crypturellus,obsoletus,Tinamidae,Tinamiformes,inhambuguaçu,Brown Tinamou,BR,False,False,False,False,,BR,Brown Tinamou,brotin1,True,binomial,False,Brown Tinamou,True,binomial,False,anthropic/claude-fable-5.1,2026-09-02T14:52:27.253959+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,b6947a26a2864f39656f96d03ae57bc94d90696c5411b6cde8a7962f5dbfe7c9,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,38a51d5ae9c960fe734cfcdf7c93914502b61c96,3.12.3,2.34.2,batch-1788360747-pYewfOMczkxJrDOjPz8M,openrouter_batch_sequence,Brown Tinamou,stop,False,"{""effort"": ""low""}","accepted_not_echoed_by_api:{""effort"": ""low""}",reasoning,anthropic/claude-fable-5.1,gen-batch-1788360747-ae55aa571c546328c265,,Anthropic,1788361273,2026-09-02T15:01:46.781614+00:00,0,73,10,83,,brown tinamou,brown tinamou,True,True,cbro;ebird;avilist,complete,0,correct
CBRO#0031,Crypturellus undulatus,Crypturellus,undulatus,Tinamidae,Tinamiformes,jaó,Undulated Tinamou,BR,False,False,False,False,,BR,Undulated Tinamou,undtin1,True,binomial,False,Undulated Tinamou,True,binomial,False,anthropic/claude-fable-5.1,2026-09-02T14:52:27.253959+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,b6947a26a2864f39656f96d03ae57bc94d90696c5411b6cde8a7962f5dbfe7c9,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,38a51d5ae9c960fe734cfcdf7c93914502b61c96,3.12.3,2.34.2,batch-1788360747-pYewfOMczkxJrDOjPz8M,openrouter_batch_sequence,Undulated Tinamou,stop,False,"{""effort"": ""low""}","accepted_not_echoed_by_api:{""effort"": ""low""}",reasoning,anthropic/claude-fable-5.1,gen-batch-1788360747-fb43f80b2f3b045a3d7b,,Anthropic,1788361273,2026-09-02T15:01:46.781633+00:00,0,68,11,79,,undulated tinamou,undulated tinamou,True,True,cbro;ebird;avilist,complete,0,correct
CBRO#0037,Crypturellus strigulosus,Crypturellus,strigulosus,Tinamidae,Tinamiformes,inhambu-relógio,Brazilian Tinamou,BR,False,False,False,False,,BR,Brazilian Tinamou,bratin1,True,binomial,False,Brazilian Tinamou,True,binomial,False,anthropic/claude-fable-5.1,2026-09-02T14:52:27.253959+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,b6947a26a2864f39656f96d03ae57bc94d90696c5411b6cde8a7962f5dbfe7c9,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,38a51d5ae9c960fe734cfcdf7c93914502b61c96,3.12.3,2.34.2,batch-1788360747-pYewfOMczkxJrDOjPz8M,openrouter_batch_sequence,Cinereous Tinamou,stop,False,"{""effort"": ""low""}","accepted_not_echoed_by_api:{""effort"": ""low""}",reasoning,anthropic/claude-fable-5.1,gen-batch-1788360747-f921d9fec9a6cd763e20,,Anthropic,1788361273,2026-09-02T15:01:46.781652+00:00,0,73,12,85,,cinereous tinamou,brazilian tinamou,False,False,,complete,1,intra_genus
