cbro_id,scientific_name,genus,species_epithet,family,order,portuguese_name,english_name_cbro,occurrence,endemic_brazil,extinct,introduced,status_uncertain,origin_directions,status_raw,english_name_ebird,ebird_species_code,ebird_matched,ebird_match_method,name_disputed,english_name_avilist,avilist_matched,avilist_match_method,name_disputed_avilist,model,model_response,finish_reason,truncated,reasoning_config,benchmark_mode,latency_ms,prompt_tokens,completion_tokens,total_tokens,error,normalized_response,normalized_target,exact_match,acceptable_match,match_source,taxonomic_distance,error_type
CBRO#0004,Rhea americana,Rhea,americana,Rheidae,Rheiformes,ema,Greater Rhea,BR,False,False,False,False,,BR,Greater Rhea,grerhe1,True,binomial,False,Greater Rhea,True,binomial,False,anthropic/claude-opus-4.8,Greater Rhea,stop,False,"{""effort"": ""none""}",no_reasoning,2230,65,9,74,,greater rhea,greater rhea,True,True,cbro;ebird;avilist,0,correct
CBRO#0011,Tinamus tao,Tinamus,tao,Tinamidae,Tinamiformes,azulona,Gray Tinamou,BR,False,False,False,False,,BR,Gray Tinamou,grytin1,True,binomial,False,Grey Tinamou,True,binomial,True,anthropic/claude-opus-4.8,Solitary Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,1676,66,11,77,,solitary tinamou,gray tinamou,False,False,,1,intra_genus
CBRO#0014,Tinamus solitarius,Tinamus,solitarius,Tinamidae,Tinamiformes,macuco,Solitary Tinamou,BR,False,False,False,False,,BR,Solitary Tinamou,soltin1,True,binomial,False,Solitary Tinamou,True,binomial,False,anthropic/claude-opus-4.8,Solitary Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,2273,66,11,77,,solitary tinamou,solitary tinamou,True,True,cbro;ebird;avilist,0,correct
CBRO#0015,Tinamus major,Tinamus,major,Tinamidae,Tinamiformes,inhambu-serra,Great Tinamou,BR,False,False,False,False,,BR,Great Tinamou,gretin1,True,binomial,False,Great Tinamou,True,binomial,False,anthropic/claude-opus-4.8,Solitary Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,2527,70,11,81,,solitary tinamou,great tinamou,False,False,,1,intra_genus
CBRO#0020,Tinamus guttatus,Tinamus,guttatus,Tinamidae,Tinamiformes,inhambu-galinha,White-throated Tinamou,BR,False,False,False,False,,BR,White-throated Tinamou,whttin1,True,binomial,False,White-throated Tinamou,True,binomial,False,anthropic/claude-opus-4.8,Little Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,1626,71,9,80,,little tinamou,white throated tinamou,False,False,,2,intra_family
CBRO#0022,Crypturellus cinereus,Crypturellus,cinereus,Tinamidae,Tinamiformes,inhambu-pixuna,Cinereous Tinamou,BR,False,False,False,False,,BR,Cinereous Tinamou,cintin1,True,binomial,False,Cinereous Tinamou,True,binomial,False,anthropic/claude-opus-4.8,Brown Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,2264,72,10,82,,brown tinamou,cinereous tinamou,False,False,,1,intra_genus
CBRO#0023,Crypturellus soui,Crypturellus,soui,Tinamidae,Tinamiformes,tururim,Little Tinamou,BR,False,False,False,False,,BR,Little Tinamou,littin1,True,binomial,False,Little Tinamou,True,binomial,False,anthropic/claude-opus-4.8,Buff-breasted Sandpiper,stop,False,"{""effort"": ""none""}",no_reasoning,2726,66,15,81,,buff breasted sandpiper,little tinamou,False,False,,4,hallucinated
CBRO#0027,Crypturellus obsoletus,Crypturellus,obsoletus,Tinamidae,Tinamiformes,inhambuguaçu,Brown Tinamou,BR,False,False,False,False,,BR,Brown Tinamou,brotin1,True,binomial,False,Brown Tinamou,True,binomial,False,anthropic/claude-opus-4.8,Solitary Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,2445,71,11,82,,solitary tinamou,brown tinamou,False,False,,2,intra_family
CBRO#0031,Crypturellus undulatus,Crypturellus,undulatus,Tinamidae,Tinamiformes,jaó,Undulated Tinamou,BR,False,False,False,False,,BR,Undulated Tinamou,undtin1,True,binomial,False,Undulated Tinamou,True,binomial,False,anthropic/claude-opus-4.8,Undulated Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,1849,66,11,77,,undulated tinamou,undulated tinamou,True,True,cbro;ebird;avilist,0,correct
CBRO#0037,Crypturellus strigulosus,Crypturellus,strigulosus,Tinamidae,Tinamiformes,inhambu-relógio,Brazilian Tinamou,BR,False,False,False,False,,BR,Brazilian Tinamou,bratin1,True,binomial,False,Brazilian Tinamou,True,binomial,False,anthropic/claude-opus-4.8,Undulated Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,1916,71,11,82,,undulated tinamou,brazilian tinamou,False,False,,1,intra_genus
