cbro_id,scientific_name,genus,species_epithet,family,order,portuguese_name,english_name_cbro,occurrence,endemic_brazil,extinct,introduced,status_uncertain,origin_directions,status_raw,english_name_ebird,ebird_species_code,ebird_matched,ebird_match_method,name_disputed,english_name_avilist,avilist_matched,avilist_match_method,name_disputed_avilist,model,model_response,finish_reason,truncated,reasoning_config,benchmark_mode,latency_ms,prompt_tokens,completion_tokens,total_tokens,error,normalized_response,normalized_target,exact_match,acceptable_match,match_source,taxonomic_distance,error_type
CBRO#0004,Rhea americana,Rhea,americana,Rheidae,Rheiformes,ema,Greater Rhea,BR,False,False,False,False,,BR,Greater Rhea,grerhe1,True,binomial,False,Greater Rhea,True,binomial,False,anthropic/claude-opus-4.8,Greater Rhea,stop,False,"{""enabled"": true, ""max_tokens"": 1024}",reasoning,2783,65,41,106,,greater rhea,greater rhea,True,True,cbro;ebird;avilist,0,correct
CBRO#0011,Tinamus tao,Tinamus,tao,Tinamidae,Tinamiformes,azulona,Gray Tinamou,BR,False,False,False,False,,BR,Gray Tinamou,grytin1,True,binomial,False,Grey Tinamou,True,binomial,True,anthropic/claude-opus-4.8,Solitary Tinamou,stop,False,"{""enabled"": true, ""max_tokens"": 1024}",reasoning,1809,66,11,77,,solitary tinamou,gray tinamou,False,False,,1,intra_genus
CBRO#0014,Tinamus solitarius,Tinamus,solitarius,Tinamidae,Tinamiformes,macuco,Solitary Tinamou,BR,False,False,False,False,,BR,Solitary Tinamou,soltin1,True,binomial,False,Solitary Tinamou,True,binomial,False,anthropic/claude-opus-4.8,Solitary Tinamou,stop,False,"{""enabled"": true, ""max_tokens"": 1024}",reasoning,1783,66,11,77,,solitary tinamou,solitary tinamou,True,True,cbro;ebird;avilist,0,correct
CBRO#0015,Tinamus major,Tinamus,major,Tinamidae,Tinamiformes,inhambu-serra,Great Tinamou,BR,False,False,False,False,,BR,Great Tinamou,gretin1,True,binomial,False,Great Tinamou,True,binomial,False,anthropic/claude-opus-4.8,Brown Tinamou,stop,False,"{""enabled"": true, ""max_tokens"": 1024}",reasoning,3740,70,83,153,,brown tinamou,great tinamou,False,False,,2,intra_family
CBRO#0020,Tinamus guttatus,Tinamus,guttatus,Tinamidae,Tinamiformes,inhambu-galinha,White-throated Tinamou,BR,False,False,False,False,,BR,White-throated Tinamou,whttin1,True,binomial,False,White-throated Tinamou,True,binomial,False,anthropic/claude-opus-4.8,Yellow-legged Tinamou,stop,False,"{""enabled"": true, ""max_tokens"": 1024}",reasoning,6550,71,351,422,,yellow legged tinamou,white throated tinamou,False,False,,2,intra_family
CBRO#0022,Crypturellus cinereus,Crypturellus,cinereus,Tinamidae,Tinamiformes,inhambu-pixuna,Cinereous Tinamou,BR,False,False,False,False,,BR,Cinereous Tinamou,cintin1,True,binomial,False,Cinereous Tinamou,True,binomial,False,anthropic/claude-opus-4.8,Brown Tinamou,stop,False,"{""enabled"": true, ""max_tokens"": 1024}",reasoning,5691,72,199,271,,brown tinamou,cinereous tinamou,False,False,,1,intra_genus
CBRO#0023,Crypturellus soui,Crypturellus,soui,Tinamidae,Tinamiformes,tururim,Little Tinamou,BR,False,False,False,False,,BR,Little Tinamou,littin1,True,binomial,False,Little Tinamou,True,binomial,False,anthropic/claude-opus-4.8,Little Tinamou,stop,False,"{""enabled"": true, ""max_tokens"": 1024}",reasoning,5105,66,74,140,,little tinamou,little tinamou,True,True,cbro;ebird;avilist,0,correct
CBRO#0027,Crypturellus obsoletus,Crypturellus,obsoletus,Tinamidae,Tinamiformes,inhambuguaçu,Brown Tinamou,BR,False,False,False,False,,BR,Brown Tinamou,brotin1,True,binomial,False,Brown Tinamou,True,binomial,False,anthropic/claude-opus-4.8,Brown Tinamou,stop,False,"{""enabled"": true, ""max_tokens"": 1024}",reasoning,5294,71,220,291,,brown tinamou,brown tinamou,True,True,cbro;ebird;avilist,0,correct
CBRO#0031,Crypturellus undulatus,Crypturellus,undulatus,Tinamidae,Tinamiformes,jaó,Undulated Tinamou,BR,False,False,False,False,,BR,Undulated Tinamou,undtin1,True,binomial,False,Undulated Tinamou,True,binomial,False,anthropic/claude-opus-4.8,Undulated Tinamou,stop,False,"{""enabled"": true, ""max_tokens"": 1024}",reasoning,1616,66,11,77,,undulated tinamou,undulated tinamou,True,True,cbro;ebird;avilist,0,correct
CBRO#0037,Crypturellus strigulosus,Crypturellus,strigulosus,Tinamidae,Tinamiformes,inhambu-relógio,Brazilian Tinamou,BR,False,False,False,False,,BR,Brazilian Tinamou,bratin1,True,binomial,False,Brazilian Tinamou,True,binomial,False,anthropic/claude-opus-4.8,Tawny-breasted Tinamou,stop,False,"{""enabled"": true, ""max_tokens"": 1024}",reasoning,2292,71,15,86,,tawny breasted tinamou,brazilian tinamou,False,False,,4,hallucinated
