cbro_id,scientific_name,genus,species_epithet,family,order,portuguese_name,english_name_cbro,occurrence,endemic_brazil,extinct,introduced,status_uncertain,origin_directions,status_raw,english_name_ebird,ebird_species_code,ebird_matched,ebird_match_method,name_disputed,english_name_avilist,avilist_matched,avilist_match_method,name_disputed_avilist,model,model_response,finish_reason,truncated,reasoning_config,benchmark_mode,latency_ms,prompt_tokens,completion_tokens,total_tokens,error,normalized_response,normalized_target,exact_match,acceptable_match,match_source,taxonomic_distance,error_type,generation_status
CBRO#0004,Rhea americana,Rhea,americana,Rheidae,Rheiformes,ema,Greater Rhea,BR,False,False,False,False,,BR,Greater Rhea,grerhe1,True,binomial,False,Greater Rhea,True,binomial,False,deepseek/deepseek-v4-pro,Greater Rhea,stop,False,"{""effort"": ""minimal""}",reasoning,4801,42,90,132,,greater rhea,greater rhea,True,True,cbro;ebird;avilist,0,correct,complete
CBRO#0011,Tinamus tao,Tinamus,tao,Tinamidae,Tinamiformes,azulona,Gray Tinamou,BR,False,False,False,False,,BR,Gray Tinamou,grytin1,True,binomial,False,Grey Tinamou,True,binomial,True,deepseek/deepseek-v4-pro,Blue-black Grosbeak,stop,False,"{""effort"": ""minimal""}",reasoning,11416,44,470,514,,blue black grosbeak,gray tinamou,False,False,,4,hallucinated,complete
CBRO#0014,Tinamus solitarius,Tinamus,solitarius,Tinamidae,Tinamiformes,macuco,Solitary Tinamou,BR,False,False,False,False,,BR,Solitary Tinamou,soltin1,True,binomial,False,Solitary Tinamou,True,binomial,False,deepseek/deepseek-v4-pro,Solitary Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,10448,43,129,172,,solitary tinamou,solitary tinamou,True,True,cbro;ebird;avilist,0,correct,complete
CBRO#0015,Tinamus major,Tinamus,major,Tinamidae,Tinamiformes,inhambu-serra,Great Tinamou,BR,False,False,False,False,,BR,Great Tinamou,gretin1,True,binomial,False,Great Tinamou,True,binomial,False,deepseek/deepseek-v4-pro,Solitary Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,5066,46,147,193,,solitary tinamou,great tinamou,False,False,,1,intra_genus,complete
CBRO#0020,Tinamus guttatus,Tinamus,guttatus,Tinamidae,Tinamiformes,inhambu-galinha,White-throated Tinamou,BR,False,False,False,False,,BR,White-throated Tinamou,whttin1,True,binomial,False,White-throated Tinamou,True,binomial,False,deepseek/deepseek-v4-pro,Small-billed Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,9934,47,408,455,,small billed tinamou,white throated tinamou,False,False,,2,intra_family,complete
CBRO#0022,Crypturellus cinereus,Crypturellus,cinereus,Tinamidae,Tinamiformes,inhambu-pixuna,Cinereous Tinamou,BR,False,False,False,False,,BR,Cinereous Tinamou,cintin1,True,binomial,False,Cinereous Tinamou,True,binomial,False,deepseek/deepseek-v4-pro,Cinereous Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,23186,47,629,676,,cinereous tinamou,cinereous tinamou,True,True,cbro;ebird;avilist,0,correct,complete
CBRO#0023,Crypturellus soui,Crypturellus,soui,Tinamidae,Tinamiformes,tururim,Little Tinamou,BR,False,False,False,False,,BR,Little Tinamou,littin1,True,binomial,False,Little Tinamou,True,binomial,False,deepseek/deepseek-v4-pro,Little Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,2638,44,192,236,,little tinamou,little tinamou,True,True,cbro;ebird;avilist,0,correct,complete
CBRO#0027,Crypturellus obsoletus,Crypturellus,obsoletus,Tinamidae,Tinamiformes,inhambuguaçu,Brown Tinamou,BR,False,False,False,False,,BR,Brown Tinamou,brotin1,True,binomial,False,Brown Tinamou,True,binomial,False,deepseek/deepseek-v4-pro,Great Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,3700,46,157,203,,great tinamou,brown tinamou,False,False,,2,intra_family,complete
CBRO#0031,Crypturellus undulatus,Crypturellus,undulatus,Tinamidae,Tinamiformes,jaó,Undulated Tinamou,BR,False,False,False,False,,BR,Undulated Tinamou,undtin1,True,binomial,False,Undulated Tinamou,True,binomial,False,deepseek/deepseek-v4-pro,Red-winged Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,5361,43,186,229,,red winged tinamou,undulated tinamou,False,False,,2,intra_family,complete
CBRO#0037,Crypturellus strigulosus,Crypturellus,strigulosus,Tinamidae,Tinamiformes,inhambu-relógio,Brazilian Tinamou,BR,False,False,False,False,,BR,Brazilian Tinamou,bratin1,True,binomial,False,Brazilian Tinamou,True,binomial,False,deepseek/deepseek-v4-pro,Undulated Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,7843,47,139,186,,undulated tinamou,brazilian tinamou,False,False,,1,intra_genus,complete
CBRO#0038,Crypturellus duidae,Crypturellus,duidae,Tinamidae,Tinamiformes,inhambu-de-pé-cinza,Gray-legged Tinamou,BR,False,False,False,True,,BR#,Gray-legged Tinamou,gyltin1,True,binomial,False,Grey-legged Tinamou,True,binomial,True,deepseek/deepseek-v4-pro,Gray-legged Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,5539,50,256,306,,gray legged tinamou,gray legged tinamou,True,True,cbro;ebird,0,correct,complete
CBRO#0039,Crypturellus erythropus,Crypturellus,erythropus,Tinamidae,Tinamiformes,inhambu-de-perna-vermelha,Red-legged Tinamou,BR,False,False,False,False,,BR,Red-legged Tinamou,reltin1,True,binomial,False,Red-legged Tinamou,True,binomial,False,deepseek/deepseek-v4-pro,Red-legged Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,12465,50,155,205,,red legged tinamou,red legged tinamou,True,True,cbro;ebird;avilist,0,correct,complete
CBRO#0042,Crypturellus noctivagus,Crypturellus,noctivagus,Tinamidae,Tinamiformes,jaó-do-sul,Yellow-legged Tinamou,BR,True,False,False,False,,"BR, En",Yellow-legged Tinamou,yeltin1,True,binomial,False,Yellow-legged Tinamou,True,binomial,False,deepseek/deepseek-v4-pro,Small-billed Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,15778,46,247,293,,small billed tinamou,yellow legged tinamou,False,False,,1,intra_genus,complete
CBRO#0044,Crypturellus atrocapillus,Crypturellus,atrocapillus,Tinamidae,Tinamiformes,inhambu-de-coroa-preta,Black-capped Tinamou,BR,False,False,False,False,,BR,Black-capped Tinamou,blctin1,True,binomial,False,Black-capped Tinamou,True,binomial,False,deepseek/deepseek-v4-pro,Black-capped Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,7077,49,357,406,,black capped tinamou,black capped tinamou,True,True,cbro;ebird;avilist,0,correct,complete
CBRO#0046,Crypturellus variegatus,Crypturellus,variegatus,Tinamidae,Tinamiformes,inhambu-anhangá,Variegated Tinamou,BR,False,False,False,False,,BR,Variegated Tinamou,vartin1,True,binomial,False,Variegated Tinamou,True,binomial,False,deepseek/deepseek-v4-pro,Solitary Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,7495,47,179,226,,solitary tinamou,variegated tinamou,False,False,,2,intra_family,complete
CBRO#0047,Crypturellus brevirostris,Crypturellus,brevirostris,Tinamidae,Tinamiformes,inhambu-carijó,Rusty Tinamou,BR,False,False,False,False,,BR,Rusty Tinamou,rustin1,True,binomial,False,Rusty Tinamou,True,binomial,False,deepseek/deepseek-v4-pro,Small-billed Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,11335,48,360,408,,small billed tinamou,rusty tinamou,False,False,,1,intra_genus,complete
