cbro_id,scientific_name,genus,species_epithet,family,order,portuguese_name,english_name_cbro,occurrence,endemic_brazil,extinct,introduced,status_uncertain,origin_directions,status_raw,english_name_ebird,ebird_species_code,ebird_matched,ebird_match_method,name_disputed,english_name_avilist,avilist_matched,avilist_match_method,name_disputed_avilist,model,run_started_at_utc,dataset_sha256,config_sha256,prompt_sha256,git_commit,python_version,requests_version,batch_id,execution_mode,model_response,finish_reason,truncated,reasoning_config,effective_reasoning_config,benchmark_mode,resolved_model,generation_id,request_id,provider,response_created,requested_at_utc,latency_ms,prompt_tokens,completion_tokens,total_tokens,error,normalized_response,normalized_target,exact_match,acceptable_match,match_source,generation_status,taxonomic_distance,error_type
CBRO#0004,Rhea americana,Rhea,americana,Rheidae,Rheiformes,ema,Greater Rhea,BR,False,False,False,False,,BR,Greater Rhea,grerhe1,True,binomial,False,Greater Rhea,True,binomial,False,google/gemini-3.8-flash,2026-09-08T00:53:56.478876+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,0480e41a05f1da16c2a355b693d35dceb34ca812f59501d900c07970d2657eea,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,5448c37a41c7b0af096601ee7fa2ed5f5636790a,3.12.3,2.34.2,batch-1788828837-msY2KxjSKerF6OOjheAu,openrouter_batch_sequence,Greater rhea,stop,False,"{""effort"": ""low""}","accepted_not_echoed_by_api:{""effort"": ""low""}",reasoning,google/gemini-3.8-flash,gen-batch-1788828837-9ad55774aa6a11f7b833,TF2fateVNoWLxN8P_aWc8Qg,Google,1788829004,2026-09-08T00:58:40.487235+00:00,0,37,3,40,,greater rhea,greater rhea,True,True,cbro;ebird;avilist,complete,0,correct
CBRO#0011,Tinamus tao,Tinamus,tao,Tinamidae,Tinamiformes,azulona,Gray Tinamou,BR,False,False,False,False,,BR,Gray Tinamou,grytin1,True,binomial,False,Grey Tinamou,True,binomial,True,google/gemini-3.8-flash,2026-09-08T00:53:56.478876+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,0480e41a05f1da16c2a355b693d35dceb34ca812f59501d900c07970d2657eea,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,5448c37a41c7b0af096601ee7fa2ed5f5636790a,3.12.3,2.34.2,batch-1788828837-msY2KxjSKerF6OOjheAu,openrouter_batch_sequence,Brown tinamou,stop,False,"{""effort"": ""low""}","accepted_not_echoed_by_api:{""effort"": ""low""}",reasoning,google/gemini-3.8-flash,gen-batch-1788828837-926e611dfeca3066df30,TF2farS0NpmFz_IPysvfwA4,Google,1788829004,2026-09-08T00:58:40.487307+00:00,0,38,4,42,,brown tinamou,gray tinamou,False,False,,complete,2,intra_family
CBRO#0014,Tinamus solitarius,Tinamus,solitarius,Tinamidae,Tinamiformes,macuco,Solitary Tinamou,BR,False,False,False,False,,BR,Solitary Tinamou,soltin1,True,binomial,False,Solitary Tinamou,True,binomial,False,google/gemini-3.8-flash,2026-09-08T00:53:56.478876+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,0480e41a05f1da16c2a355b693d35dceb34ca812f59501d900c07970d2657eea,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,5448c37a41c7b0af096601ee7fa2ed5f5636790a,3.12.3,2.34.2,batch-1788828837-msY2KxjSKerF6OOjheAu,openrouter_batch_sequence,Solitary Tinamou,stop,False,"{""effort"": ""low""}","accepted_not_echoed_by_api:{""effort"": ""low""}",reasoning,google/gemini-3.8-flash,gen-batch-1788828837-22eed59f009ccaa07f52,TF2faqCuNp7ImPUP98fqwAw,Google,1788829004,2026-09-08T00:58:40.487340+00:00,0,38,5,43,,solitary tinamou,solitary tinamou,True,True,cbro;ebird;avilist,complete,0,correct
CBRO#0015,Tinamus major,Tinamus,major,Tinamidae,Tinamiformes,inhambu-serra,Great Tinamou,BR,False,False,False,False,,BR,Great Tinamou,gretin1,True,binomial,False,Great Tinamou,True,binomial,False,google/gemini-3.8-flash,2026-09-08T00:53:56.478876+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,0480e41a05f1da16c2a355b693d35dceb34ca812f59501d900c07970d2657eea,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,5448c37a41c7b0af096601ee7fa2ed5f5636790a,3.12.3,2.34.2,batch-1788828837-msY2KxjSKerF6OOjheAu,openrouter_batch_sequence,Cinereous Tinamou,stop,False,"{""effort"": ""low""}","accepted_not_echoed_by_api:{""effort"": ""low""}",reasoning,google/gemini-3.8-flash,gen-batch-1788828837-d53ac7efd97fbb57941e,TF2faq2vNvfbvdIPv6-OsQg,Google,1788829004,2026-09-08T00:58:40.487363+00:00,0,41,6,47,,cinereous tinamou,great tinamou,False,False,,complete,2,intra_family
CBRO#0020,Tinamus guttatus,Tinamus,guttatus,Tinamidae,Tinamiformes,inhambu-galinha,White-throated Tinamou,BR,False,False,False,False,,BR,White-throated Tinamou,whttin1,True,binomial,False,White-throated Tinamou,True,binomial,False,google/gemini-3.8-flash,2026-09-08T00:53:56.478876+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,0480e41a05f1da16c2a355b693d35dceb34ca812f59501d900c07970d2657eea,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,5448c37a41c7b0af096601ee7fa2ed5f5636790a,3.12.3,2.34.2,batch-1788828837-msY2KxjSKerF6OOjheAu,openrouter_batch_sequence,"Tinamus guttatus / White-throated Tinamou (Wait, inhambu-galinha is Tinamus guttatus?
Let's check Brazilian Portuguese names:
- Inhambu-galinha = Tinamus guttatus? No, Tinamus guttatus is inhambu-galinha?
Wait, *Crypturellus* or *Tinamus*?
*Tinamus guttatus* = inhambu-galinha.
Let's double-check CBRO (Comitê Brasileiro de Registros Ornitológicos):
*Tinamus guttatus* = inhambu-galinha. English name: White-throated Tinamou.
Wait, is *Crypturellus variegatus* = inhambu-de-cabeça-vermelha / inhambu-carijó?
Let's verify:
*Tinamus guttatus* (Pelzeln, 1863):
English: White-throated Tinamou
Português: Inhambu-galinha (CBRO list).
White-throated Tinamou",stop,False,"{""effort"": ""low""}","accepted_not_echoed_by_api:{""effort"": ""low""}",reasoning,google/gemini-3.8-flash,gen-batch-1788828837-c23428188b2b7c6cffd5,TF2fao2yNs7sxs0Picnf4Q4,Google,1788829004,2026-09-08T00:58:40.487386+00:00,0,41,227,268,,tinamus guttatus white throated tinamou wait inhambu galinha is tinamus guttatus lets check brazilian portuguese names inhambu galinha tinamus guttatus no tinamus guttatus is inhambu galinha wait crypturellus or tinamus tinamus guttatus inhambu galinha lets double check cbro comitê brasileiro de registros ornitológicos tinamus guttatus inhambu galinha english name white throated tinamou wait is crypturellus variegatus inhambu de cabeça vermelha inhambu carijó lets verify tinamus guttatus pelzeln 1863 english white throated tinamou português inhambu galinha cbro list white throated tinamou,white throated tinamou,False,False,,complete,4,hallucinated
CBRO#0022,Crypturellus cinereus,Crypturellus,cinereus,Tinamidae,Tinamiformes,inhambu-pixuna,Cinereous Tinamou,BR,False,False,False,False,,BR,Cinereous Tinamou,cintin1,True,binomial,False,Cinereous Tinamou,True,binomial,False,google/gemini-3.8-flash,2026-09-08T00:53:56.478876+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,0480e41a05f1da16c2a355b693d35dceb34ca812f59501d900c07970d2657eea,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,5448c37a41c7b0af096601ee7fa2ed5f5636790a,3.12.3,2.34.2,batch-1788828837-msY2KxjSKerF6OOjheAu,openrouter_batch_sequence,Cinereous Tinamou,stop,False,"{""effort"": ""low""}","accepted_not_echoed_by_api:{""effort"": ""low""}",reasoning,google/gemini-3.8-flash,gen-batch-1788828837-9dc1f3f9dcd3f46cee0d,TF2fap-rNtarz_IPx_nN8Q4,Google,1788829004,2026-09-08T00:58:40.487468+00:00,0,41,6,47,,cinereous tinamou,cinereous tinamou,True,True,cbro;ebird;avilist,complete,0,correct
CBRO#0023,Crypturellus soui,Crypturellus,soui,Tinamidae,Tinamiformes,tururim,Little Tinamou,BR,False,False,False,False,,BR,Little Tinamou,littin1,True,binomial,False,Little Tinamou,True,binomial,False,google/gemini-3.8-flash,2026-09-08T00:53:56.478876+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,0480e41a05f1da16c2a355b693d35dceb34ca812f59501d900c07970d2657eea,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,5448c37a41c7b0af096601ee7fa2ed5f5636790a,3.12.3,2.34.2,batch-1788828837-msY2KxjSKerF6OOjheAu,openrouter_batch_sequence,Small-billed Tinamou,stop,False,"{""effort"": ""low""}","accepted_not_echoed_by_api:{""effort"": ""low""}",reasoning,google/gemini-3.8-flash,gen-batch-1788828837-528bcda6d78e8eff2d34,TF2faqzMNpr7mLAPrfzAqAE,Google,1788829004,2026-09-08T00:58:40.487488+00:00,0,39,6,45,,small billed tinamou,little tinamou,False,False,,complete,1,intra_genus
CBRO#0027,Crypturellus obsoletus,Crypturellus,obsoletus,Tinamidae,Tinamiformes,inhambuguaçu,Brown Tinamou,BR,False,False,False,False,,BR,Brown Tinamou,brotin1,True,binomial,False,Brown Tinamou,True,binomial,False,google/gemini-3.8-flash,2026-09-08T00:53:56.478876+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,0480e41a05f1da16c2a355b693d35dceb34ca812f59501d900c07970d2657eea,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,5448c37a41c7b0af096601ee7fa2ed5f5636790a,3.12.3,2.34.2,batch-1788828837-msY2KxjSKerF6OOjheAu,openrouter_batch_sequence,Solitary Tinamou,stop,False,"{""effort"": ""low""}","accepted_not_echoed_by_api:{""effort"": ""low""}",reasoning,google/gemini-3.8-flash,gen-batch-1788828837-472ba460f319b01e43be,TF2faoiqNp7ImPUPh5LvsAI,Google,1788829004,2026-09-08T00:58:40.487510+00:00,0,41,5,46,,solitary tinamou,brown tinamou,False,False,,complete,2,intra_family
CBRO#0031,Crypturellus undulatus,Crypturellus,undulatus,Tinamidae,Tinamiformes,jaó,Undulated Tinamou,BR,False,False,False,False,,BR,Undulated Tinamou,undtin1,True,binomial,False,Undulated Tinamou,True,binomial,False,google/gemini-3.8-flash,2026-09-08T00:53:56.478876+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,0480e41a05f1da16c2a355b693d35dceb34ca812f59501d900c07970d2657eea,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,5448c37a41c7b0af096601ee7fa2ed5f5636790a,3.12.3,2.34.2,batch-1788828837-msY2KxjSKerF6OOjheAu,openrouter_batch_sequence,Brown Tinamou,stop,False,"{""effort"": ""low""}","accepted_not_echoed_by_api:{""effort"": ""low""}",reasoning,google/gemini-3.8-flash,gen-batch-1788828837-664a5788a6cd1a494a45,TF2fasyYNsW5mPUPoeKogQM,Google,1788829004,2026-09-08T00:58:40.487531+00:00,0,38,4,42,,brown tinamou,undulated tinamou,False,False,,complete,1,intra_genus
CBRO#0037,Crypturellus strigulosus,Crypturellus,strigulosus,Tinamidae,Tinamiformes,inhambu-relógio,Brazilian Tinamou,BR,False,False,False,False,,BR,Brazilian Tinamou,bratin1,True,binomial,False,Brazilian Tinamou,True,binomial,False,google/gemini-3.8-flash,2026-09-08T00:53:56.478876+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,0480e41a05f1da16c2a355b693d35dceb34ca812f59501d900c07970d2657eea,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,5448c37a41c7b0af096601ee7fa2ed5f5636790a,3.12.3,2.34.2,batch-1788828837-msY2KxjSKerF6OOjheAu,openrouter_batch_sequence,Variegated Tinamou,stop,False,"{""effort"": ""low""}","accepted_not_echoed_by_api:{""effort"": ""low""}",reasoning,google/gemini-3.8-flash,gen-batch-1788828837-dccaef67118f2200a957,TF2fauGcNsaFz_IPo6ypuA4,Google,1788829004,2026-09-08T00:58:40.487550+00:00,0,41,6,47,,variegated tinamou,brazilian tinamou,False,False,,complete,1,intra_genus
