cbro_id,scientific_name,genus,species_epithet,family,order,portuguese_name,english_name_cbro,occurrence,endemic_brazil,extinct,introduced,status_uncertain,origin_directions,status_raw,english_name_ebird,ebird_species_code,ebird_matched,ebird_match_method,name_disputed,english_name_avilist,avilist_matched,avilist_match_method,name_disputed_avilist,model,model_response,finish_reason,truncated,reasoning_config,benchmark_mode,latency_ms,prompt_tokens,completion_tokens,total_tokens,error,normalized_response,normalized_target,exact_match,acceptable_match,match_source,taxonomic_distance,error_type,generation_status
CBRO#0004,Rhea americana,Rhea,americana,Rheidae,Rheiformes,ema,Greater Rhea,BR,False,False,False,False,,BR,Greater Rhea,grerhe1,True,binomial,False,Greater Rhea,True,binomial,False,mistralai/mistral-small-2603,Greater Rhea,stop,False,"{""effort"": ""none""}",no_reasoning,580,56,4,60,,greater rhea,greater rhea,True,True,cbro;ebird;avilist,0,correct,complete
CBRO#0011,Tinamus tao,Tinamus,tao,Tinamidae,Tinamiformes,azulona,Gray Tinamou,BR,False,False,False,False,,BR,Gray Tinamou,grytin1,True,binomial,False,Grey Tinamou,True,binomial,True,mistralai/mistral-small-2603,Blue-black Grassquit,stop,False,"{""effort"": ""none""}",no_reasoning,1047,58,5,63,,blue black grassquit,gray tinamou,False,False,,4,hallucinated,complete
CBRO#0014,Tinamus solitarius,Tinamus,solitarius,Tinamidae,Tinamiformes,macuco,Solitary Tinamou,BR,False,False,False,False,,BR,Solitary Tinamou,soltin1,True,binomial,False,Solitary Tinamou,True,binomial,False,mistralai/mistral-small-2603,Rufous-vented Ground Cuckoo,stop,False,"{""effort"": ""none""}",no_reasoning,795,58,11,69,,rufous vented ground cuckoo,solitary tinamou,False,False,,4,hallucinated,complete
CBRO#0015,Tinamus major,Tinamus,major,Tinamidae,Tinamiformes,inhambu-serra,Great Tinamou,BR,False,False,False,False,,BR,Great Tinamou,gretin1,True,binomial,False,Great Tinamou,True,binomial,False,mistralai/mistral-small-2603,Brazilian Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,818,60,6,66,,brazilian tinamou,great tinamou,False,False,,2,intra_family,complete
CBRO#0020,Tinamus guttatus,Tinamus,guttatus,Tinamidae,Tinamiformes,inhambu-galinha,White-throated Tinamou,BR,False,False,False,False,,BR,White-throated Tinamou,whttin1,True,binomial,False,White-throated Tinamou,True,binomial,False,mistralai/mistral-small-2603,Common Pheasant,stop,False,"{""effort"": ""none""}",no_reasoning,535,60,5,65,,common pheasant,white throated tinamou,False,False,,4,hallucinated,complete
CBRO#0022,Crypturellus cinereus,Crypturellus,cinereus,Tinamidae,Tinamiformes,inhambu-pixuna,Cinereous Tinamou,BR,False,False,False,False,,BR,Cinereous Tinamou,cintin1,True,binomial,False,Cinereous Tinamou,True,binomial,False,mistralai/mistral-small-2603,Black-fronted Piping Guan,stop,False,"{""effort"": ""none""}",no_reasoning,660,61,7,68,,black fronted piping guan,cinereous tinamou,False,False,,4,hallucinated,complete
CBRO#0023,Crypturellus soui,Crypturellus,soui,Tinamidae,Tinamiformes,tururim,Little Tinamou,BR,False,False,False,False,,BR,Little Tinamou,littin1,True,binomial,False,Little Tinamou,True,binomial,False,mistralai/mistral-small-2603,Blue-winged Parrotlet,stop,False,"{""effort"": ""none""}",no_reasoning,618,58,7,65,,blue winged parrotlet,little tinamou,False,False,,4,hallucinated,complete
CBRO#0027,Crypturellus obsoletus,Crypturellus,obsoletus,Tinamidae,Tinamiformes,inhambuguaçu,Brown Tinamou,BR,False,False,False,False,,BR,Brown Tinamou,brotin1,True,binomial,False,Brown Tinamou,True,binomial,False,mistralai/mistral-small-2603,Great Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,787,60,5,65,,great tinamou,brown tinamou,False,False,,2,intra_family,complete
CBRO#0031,Crypturellus undulatus,Crypturellus,undulatus,Tinamidae,Tinamiformes,jaó,Undulated Tinamou,BR,False,False,False,False,,BR,Undulated Tinamou,undtin1,True,binomial,False,Undulated Tinamou,True,binomial,False,mistralai/mistral-small-2603,Jabiru,stop,False,"{""effort"": ""none""}",no_reasoning,722,57,4,61,,jabiru,undulated tinamou,False,False,,4,hallucinated,complete
CBRO#0037,Crypturellus strigulosus,Crypturellus,strigulosus,Tinamidae,Tinamiformes,inhambu-relógio,Brazilian Tinamou,BR,False,False,False,False,,BR,Brazilian Tinamou,bratin1,True,binomial,False,Brazilian Tinamou,True,binomial,False,mistralai/mistral-small-2603,Rusty-margined Guan,stop,False,"{""effort"": ""none""}",no_reasoning,765,61,8,69,,rusty margined guan,brazilian tinamou,False,False,,4,hallucinated,complete
