cbro_id,scientific_name,genus,species_epithet,family,order,portuguese_name,english_name_cbro,occurrence,endemic_brazil,extinct,introduced,status_uncertain,origin_directions,status_raw,english_name_ebird,ebird_species_code,ebird_matched,ebird_match_method,name_disputed,english_name_avilist,avilist_matched,avilist_match_method,name_disputed_avilist,model,model_response,finish_reason,truncated,reasoning_config,benchmark_mode,latency_ms,prompt_tokens,completion_tokens,total_tokens,error,normalized_response,normalized_target,exact_match,acceptable_match,match_source,taxonomic_distance,error_type,generation_status
CBRO#0004,Rhea americana,Rhea,americana,Rheidae,Rheiformes,ema,Greater Rhea,BR,False,False,False,False,,BR,Greater Rhea,grerhe1,True,binomial,False,Greater Rhea,True,binomial,False,mistralai/mistral-small-2603,GreaterRhea,stop,False,"{""effort"": ""minimal""}",reasoning,1064,56,75,131,,greaterrhea,greater rhea,False,False,,4,hallucinated,complete
CBRO#0011,Tinamus tao,Tinamus,tao,Tinamidae,Tinamiformes,azulona,Gray Tinamou,BR,False,False,False,False,,BR,Gray Tinamou,grytin1,True,binomial,False,Grey Tinamou,True,binomial,True,mistralai/mistral-small-2603,Blue-black Grosbeak,stop,False,"{""effort"": ""minimal""}",reasoning,5463,58,747,805,,blue black grosbeak,gray tinamou,False,False,,4,hallucinated,complete
CBRO#0014,Tinamus solitarius,Tinamus,solitarius,Tinamidae,Tinamiformes,macuco,Solitary Tinamou,BR,False,False,False,False,,BR,Solitary Tinamou,soltin1,True,binomial,False,Solitary Tinamou,True,binomial,False,mistralai/mistral-small-2603,Rufous-vented Ground-Cuckoo,stop,False,"{""effort"": ""minimal""}",reasoning,1284,58,139,197,,rufous vented ground cuckoo,solitary tinamou,False,False,,4,hallucinated,complete
CBRO#0015,Tinamus major,Tinamus,major,Tinamidae,Tinamiformes,inhambu-serra,Great Tinamou,BR,False,False,False,False,,BR,Great Tinamou,gretin1,True,binomial,False,Great Tinamou,True,binomial,False,mistralai/mistral-small-2603,Brazilian tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,1703,60,220,280,,brazilian tinamou,great tinamou,False,False,,2,intra_family,complete
CBRO#0020,Tinamus guttatus,Tinamus,guttatus,Tinamidae,Tinamiformes,inhambu-galinha,White-throated Tinamou,BR,False,False,False,False,,BR,White-throated Tinamou,whttin1,True,binomial,False,White-throated Tinamou,True,binomial,False,mistralai/mistral-small-2603,LittleTinamou,stop,False,"{""effort"": ""minimal""}",reasoning,1632,60,197,257,,littletinamou,white throated tinamou,False,False,,4,hallucinated,complete
CBRO#0022,Crypturellus cinereus,Crypturellus,cinereus,Tinamidae,Tinamiformes,inhambu-pixuna,Cinereous Tinamou,BR,False,False,False,False,,BR,Cinereous Tinamou,cintin1,True,binomial,False,Cinereous Tinamou,True,binomial,False,mistralai/mistral-small-2603,BlackTinamou,stop,False,"{""effort"": ""minimal""}",reasoning,1687,61,188,249,,blacktinamou,cinereous tinamou,False,False,,4,hallucinated,complete
CBRO#0023,Crypturellus soui,Crypturellus,soui,Tinamidae,Tinamiformes,tururim,Little Tinamou,BR,False,False,False,False,,BR,Little Tinamou,littin1,True,binomial,False,Little Tinamou,True,binomial,False,mistralai/mistral-small-2603,Ruddy Ground Dove,stop,False,"{""effort"": ""minimal""}",reasoning,1626,58,184,242,,ruddy ground dove,little tinamou,False,False,,4,hallucinated,complete
CBRO#0027,Crypturellus obsoletus,Crypturellus,obsoletus,Tinamidae,Tinamiformes,inhambuguaçu,Brown Tinamou,BR,False,False,False,False,,BR,Brown Tinamou,brotin1,True,binomial,False,Brown Tinamou,True,binomial,False,mistralai/mistral-small-2603,GreatTinamou,stop,False,"{""effort"": ""minimal""}",reasoning,1512,60,173,233,,greattinamou,brown tinamou,False,False,,4,hallucinated,complete
CBRO#0031,Crypturellus undulatus,Crypturellus,undulatus,Tinamidae,Tinamiformes,jaó,Undulated Tinamou,BR,False,False,False,False,,BR,Undulated Tinamou,undtin1,True,binomial,False,Undulated Tinamou,True,binomial,False,mistralai/mistral-small-2603,Rusty-margined Guan,stop,False,"{""effort"": ""minimal""}",reasoning,1036,57,78,135,,rusty margined guan,undulated tinamou,False,False,,4,hallucinated,complete
CBRO#0037,Crypturellus strigulosus,Crypturellus,strigulosus,Tinamidae,Tinamiformes,inhambu-relógio,Brazilian Tinamou,BR,False,False,False,False,,BR,Brazilian Tinamou,bratin1,True,binomial,False,Brazilian Tinamou,True,binomial,False,mistralai/mistral-small-2603,Bartlett's tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,1678,61,165,226,,bartletts tinamou,brazilian tinamou,False,False,,1,intra_genus,complete
