cbro_id,scientific_name,genus,species_epithet,family,order,portuguese_name,english_name_cbro,occurrence,endemic_brazil,extinct,introduced,status_uncertain,origin_directions,status_raw,english_name_ebird,ebird_species_code,ebird_matched,ebird_match_method,name_disputed,english_name_avilist,avilist_matched,avilist_match_method,name_disputed_avilist,model,model_response,finish_reason,truncated,reasoning_config,benchmark_mode,latency_ms,prompt_tokens,completion_tokens,total_tokens,error,normalized_response,normalized_target,exact_match,acceptable_match,match_source,taxonomic_distance,error_type
CBRO#0004,Rhea americana,Rhea,americana,Rheidae,Rheiformes,ema,Greater Rhea,BR,False,False,False,False,,BR,Greater Rhea,grerhe1,True,binomial,False,Greater Rhea,True,binomial,False,moonshotai/kimi-k2.6,Greater Rhea,stop,False,"{""effort"": ""none""}",no_reasoning,511,51,4,55,,greater rhea,greater rhea,True,True,cbro;ebird;avilist,0,correct
CBRO#0011,Tinamus tao,Tinamus,tao,Tinamidae,Tinamiformes,azulona,Gray Tinamou,BR,False,False,False,False,,BR,Gray Tinamou,grytin1,True,binomial,False,Grey Tinamou,True,binomial,True,moonshotai/kimi-k2.6,Brazilian Teal,stop,False,"{""effort"": ""none""}",no_reasoning,775,53,5,58,,brazilian teal,gray tinamou,False,False,,4,hallucinated
CBRO#0014,Tinamus solitarius,Tinamus,solitarius,Tinamidae,Tinamiformes,macuco,Solitary Tinamou,BR,False,False,False,False,,BR,Solitary Tinamou,soltin1,True,binomial,False,Solitary Tinamou,True,binomial,False,moonshotai/kimi-k2.6,Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,1208,50,7,57,,tinamou,solitary tinamou,False,False,,4,hallucinated
CBRO#0015,Tinamus major,Tinamus,major,Tinamidae,Tinamiformes,inhambu-serra,Great Tinamou,BR,False,False,False,False,,BR,Great Tinamou,gretin1,True,binomial,False,Great Tinamou,True,binomial,False,moonshotai/kimi-k2.6,Brown Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,4997,55,4,59,,brown tinamou,great tinamou,False,False,,2,intra_family
CBRO#0020,Tinamus guttatus,Tinamus,guttatus,Tinamidae,Tinamiformes,inhambu-galinha,White-throated Tinamou,BR,False,False,False,False,,BR,White-throated Tinamou,whttin1,True,binomial,False,White-throated Tinamou,True,binomial,False,moonshotai/kimi-k2.6,Small-billed Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,1190,56,7,63,,small billed tinamou,white throated tinamou,False,False,,2,intra_family
CBRO#0022,Crypturellus cinereus,Crypturellus,cinereus,Tinamidae,Tinamiformes,inhambu-pixuna,Cinereous Tinamou,BR,False,False,False,False,,BR,Cinereous Tinamou,cintin1,True,binomial,False,Cinereous Tinamou,True,binomial,False,moonshotai/kimi-k2.6,Rusty-margined Guan,stop,False,"{""effort"": ""none""}",no_reasoning,754,56,8,64,,rusty margined guan,cinereous tinamou,False,False,,4,hallucinated
CBRO#0023,Crypturellus soui,Crypturellus,soui,Tinamidae,Tinamiformes,tururim,Little Tinamou,BR,False,False,False,False,,BR,Little Tinamou,littin1,True,binomial,False,Little Tinamou,True,binomial,False,moonshotai/kimi-k2.6,White-throated Kingbird,stop,False,"{""effort"": ""none""}",no_reasoning,1344,51,9,60,,white throated kingbird,little tinamou,False,False,,4,hallucinated
CBRO#0027,Crypturellus obsoletus,Crypturellus,obsoletus,Tinamidae,Tinamiformes,inhambuguaçu,Brown Tinamou,BR,False,False,False,False,,BR,Brown Tinamou,brotin1,True,binomial,False,Brown Tinamou,True,binomial,False,moonshotai/kimi-k2.6,Black-fronted Piping Guan,stop,False,"{""effort"": ""none""}",no_reasoning,540,56,8,64,,black fronted piping guan,brown tinamou,False,False,,4,hallucinated
CBRO#0031,Crypturellus undulatus,Crypturellus,undulatus,Tinamidae,Tinamiformes,jaó,Undulated Tinamou,BR,False,False,False,False,,BR,Undulated Tinamou,undtin1,True,binomial,False,Undulated Tinamou,True,binomial,False,moonshotai/kimi-k2.6,Chestnut-bellied Guan,stop,False,"{""effort"": ""none""}",no_reasoning,1061,52,7,59,,chestnut bellied guan,undulated tinamou,False,False,,4,hallucinated
CBRO#0037,Crypturellus strigulosus,Crypturellus,strigulosus,Tinamidae,Tinamiformes,inhambu-relógio,Brazilian Tinamou,BR,False,False,False,False,,BR,Brazilian Tinamou,bratin1,True,binomial,False,Brazilian Tinamou,True,binomial,False,moonshotai/kimi-k2.6,White-bellied Nothura,stop,False,"{""effort"": ""none""}",no_reasoning,1146,56,7,63,,white bellied nothura,brazilian tinamou,False,False,,2,intra_family
CBRO#0038,Crypturellus duidae,Crypturellus,duidae,Tinamidae,Tinamiformes,inhambu-de-pé-cinza,Gray-legged Tinamou,BR,False,False,False,True,,BR#,Gray-legged Tinamou,gyltin1,True,binomial,False,Grey-legged Tinamou,True,binomial,True,moonshotai/kimi-k2.6,Pale-browed Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,678,59,8,67,,pale browed tinamou,gray legged tinamou,False,False,,4,hallucinated
CBRO#0039,Crypturellus erythropus,Crypturellus,erythropus,Tinamidae,Tinamiformes,inhambu-de-perna-vermelha,Red-legged Tinamou,BR,False,False,False,False,,BR,Red-legged Tinamou,reltin1,True,binomial,False,Red-legged Tinamou,True,binomial,False,moonshotai/kimi-k2.6,Red-legged Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,1330,59,6,65,,red legged tinamou,red legged tinamou,True,True,cbro;ebird;avilist,0,correct
CBRO#0042,Crypturellus noctivagus,Crypturellus,noctivagus,Tinamidae,Tinamiformes,jaó-do-sul,Yellow-legged Tinamou,BR,True,False,False,False,,"BR, En",Yellow-legged Tinamou,yeltin1,True,binomial,False,Yellow-legged Tinamou,True,binomial,False,moonshotai/kimi-k2.6,Black-fronted Piping Guan,stop,False,"{""effort"": ""none""}",no_reasoning,3745,55,7,62,,black fronted piping guan,yellow legged tinamou,False,False,,4,hallucinated
CBRO#0044,Crypturellus atrocapillus,Crypturellus,atrocapillus,Tinamidae,Tinamiformes,inhambu-de-coroa-preta,Black-capped Tinamou,BR,False,False,False,False,,BR,Black-capped Tinamou,blctin1,True,binomial,False,Black-capped Tinamou,True,binomial,False,moonshotai/kimi-k2.6,Black-bellied Nothura,stop,False,"{""effort"": ""none""}",no_reasoning,531,59,8,67,,black bellied nothura,black capped tinamou,False,False,,4,hallucinated
CBRO#0046,Crypturellus variegatus,Crypturellus,variegatus,Tinamidae,Tinamiformes,inhambu-anhangá,Variegated Tinamou,BR,False,False,False,False,,BR,Variegated Tinamou,vartin1,True,binomial,False,Variegated Tinamou,True,binomial,False,moonshotai/kimi-k2.6,Lesser Nothura,stop,False,"{""effort"": ""none""}",no_reasoning,544,56,6,62,,lesser nothura,variegated tinamou,False,False,,2,intra_family
CBRO#0047,Crypturellus brevirostris,Crypturellus,brevirostris,Tinamidae,Tinamiformes,inhambu-carijó,Rusty Tinamou,BR,False,False,False,False,,BR,Rusty Tinamou,rustin1,True,binomial,False,Rusty Tinamou,True,binomial,False,moonshotai/kimi-k2.6,Rusty-margined Guan,stop,False,"{""effort"": ""none""}",no_reasoning,878,56,7,63,,rusty margined guan,rusty tinamou,False,False,,4,hallucinated
CBRO#0048,Crypturellus bartletti,Crypturellus,bartletti,Tinamidae,Tinamiformes,inhambu-anhangaí,Bartlett's Tinamou,BR,False,False,False,False,,BR,Bartlett's Tinamou,bartin2,True,binomial,False,Bartlett's Tinamou,True,binomial,False,moonshotai/kimi-k2.6,White-bellied Nothura,stop,False,"{""effort"": ""none""}",no_reasoning,872,57,8,65,,white bellied nothura,bartletts tinamou,False,False,,2,intra_family
