cbro_id,scientific_name,genus,species_epithet,family,order,portuguese_name,english_name_cbro,occurrence,endemic_brazil,extinct,introduced,status_uncertain,origin_directions,status_raw,english_name_ebird,ebird_species_code,ebird_matched,ebird_match_method,name_disputed,english_name_avilist,avilist_matched,avilist_match_method,name_disputed_avilist,model,model_response,finish_reason,truncated,reasoning_config,benchmark_mode,latency_ms,prompt_tokens,completion_tokens,total_tokens,error,normalized_response,normalized_target,exact_match,acceptable_match,match_source,taxonomic_distance,error_type
CBRO#0004,Rhea americana,Rhea,americana,Rheidae,Rheiformes,ema,Greater Rhea,BR,False,False,False,False,,BR,Greater Rhea,grerhe1,True,binomial,False,Greater Rhea,True,binomial,False,moonshotai/kimi-k2.6,Greater Rhea,stop,False,"{""effort"": ""minimal""}",reasoning,943,50,141,191,,greater rhea,greater rhea,True,True,cbro;ebird;avilist,0,correct
CBRO#0011,Tinamus tao,Tinamus,tao,Tinamidae,Tinamiformes,azulona,Gray Tinamou,BR,False,False,False,False,,BR,Gray Tinamou,grytin1,True,binomial,False,Grey Tinamou,True,binomial,True,moonshotai/kimi-k2.6,Azure Jay,stop,False,"{""effort"": ""minimal""}",reasoning,5160,52,135,187,,azure jay,gray tinamou,False,False,,4,hallucinated
CBRO#0014,Tinamus solitarius,Tinamus,solitarius,Tinamidae,Tinamiformes,macuco,Solitary Tinamou,BR,False,False,False,False,,BR,Solitary Tinamou,soltin1,True,binomial,False,Solitary Tinamou,True,binomial,False,moonshotai/kimi-k2.6,Solitary Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,4673,51,121,172,,solitary tinamou,solitary tinamou,True,True,cbro;ebird;avilist,0,correct
CBRO#0015,Tinamus major,Tinamus,major,Tinamidae,Tinamiformes,inhambu-serra,Great Tinamou,BR,False,False,False,False,,BR,Great Tinamou,gretin1,True,binomial,False,Great Tinamou,True,binomial,False,moonshotai/kimi-k2.6,,length,True,"{""effort"": ""minimal""}",reasoning,89843,53,2048,2101,,,great tinamou,False,False,,4,refusal
CBRO#0020,Tinamus guttatus,Tinamus,guttatus,Tinamidae,Tinamiformes,inhambu-galinha,White-throated Tinamou,BR,False,False,False,False,,BR,White-throated Tinamou,whttin1,True,binomial,False,White-throated Tinamou,True,binomial,False,moonshotai/kimi-k2.6,Great Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,1223,55,131,186,,great tinamou,white throated tinamou,False,False,,1,intra_genus
CBRO#0022,Crypturellus cinereus,Crypturellus,cinereus,Tinamidae,Tinamiformes,inhambu-pixuna,Cinereous Tinamou,BR,False,False,False,False,,BR,Cinereous Tinamou,cintin1,True,binomial,False,Cinereous Tinamou,True,binomial,False,moonshotai/kimi-k2.6,Small-billed Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,1414,55,142,197,,small billed tinamou,cinereous tinamou,False,False,,1,intra_genus
CBRO#0023,Crypturellus soui,Crypturellus,soui,Tinamidae,Tinamiformes,tururim,Little Tinamou,BR,False,False,False,False,,BR,Little Tinamou,littin1,True,binomial,False,Little Tinamou,True,binomial,False,moonshotai/kimi-k2.6,Plain-breasted Ground Dove,stop,False,"{""effort"": ""minimal""}",reasoning,223050,52,17535,17587,,plain breasted ground dove,little tinamou,False,False,,4,hallucinated
CBRO#0027,Crypturellus obsoletus,Crypturellus,obsoletus,Tinamidae,Tinamiformes,inhambuguaçu,Brown Tinamou,BR,False,False,False,False,,BR,Brown Tinamou,brotin1,True,binomial,False,Brown Tinamou,True,binomial,False,moonshotai/kimi-k2.6,Great Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,8647,55,408,463,,great tinamou,brown tinamou,False,False,,2,intra_family
CBRO#0031,Crypturellus undulatus,Crypturellus,undulatus,Tinamidae,Tinamiformes,jaó,Undulated Tinamou,BR,False,False,False,False,,BR,Undulated Tinamou,undtin1,True,binomial,False,Undulated Tinamou,True,binomial,False,moonshotai/kimi-k2.6,Cinereous Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,4757,51,129,180,,cinereous tinamou,undulated tinamou,False,False,,1,intra_genus
CBRO#0037,Crypturellus strigulosus,Crypturellus,strigulosus,Tinamidae,Tinamiformes,inhambu-relógio,Brazilian Tinamou,BR,False,False,False,False,,BR,Brazilian Tinamou,bratin1,True,binomial,False,Brazilian Tinamou,True,binomial,False,moonshotai/kimi-k2.6,,length,True,"{""effort"": ""minimal""}",reasoning,37317,55,2048,2103,,,brazilian tinamou,False,False,,4,refusal
CBRO#0038,Crypturellus duidae,Crypturellus,duidae,Tinamidae,Tinamiformes,inhambu-de-pé-cinza,Gray-legged Tinamou,BR,False,False,False,True,,BR#,Gray-legged Tinamou,gyltin1,True,binomial,False,Grey-legged Tinamou,True,binomial,True,moonshotai/kimi-k2.6,Gray-legged Tinamou,stop,False,"{""effort"": ""minimal""}",reasoning,55244,57,1136,1193,,gray legged tinamou,gray legged tinamou,True,True,cbro;ebird,0,correct
