cbro_id,scientific_name,genus,species_epithet,family,order,portuguese_name,english_name_cbro,occurrence,endemic_brazil,extinct,introduced,status_uncertain,origin_directions,status_raw,english_name_ebird,ebird_species_code,ebird_matched,ebird_match_method,name_disputed,english_name_avilist,avilist_matched,avilist_match_method,name_disputed_avilist,model,model_response,finish_reason,truncated,reasoning_config,benchmark_mode,latency_ms,prompt_tokens,completion_tokens,total_tokens,error,normalized_response,normalized_target,exact_match,acceptable_match,match_source,taxonomic_distance,error_type
CBRO#0004,Rhea americana,Rhea,americana,Rheidae,Rheiformes,ema,Greater Rhea,BR,False,False,False,False,,BR,Greater Rhea,grerhe1,True,binomial,False,Greater Rhea,True,binomial,False,openai/gpt-5.4-mini,Greater Rhea,stop,False,"{""effort"": ""none""}",no_reasoning,1096,48,7,55,,greater rhea,greater rhea,True,True,cbro;ebird;avilist,0,correct
CBRO#0011,Tinamus tao,Tinamus,tao,Tinamidae,Tinamiformes,azulona,Gray Tinamou,BR,False,False,False,False,,BR,Gray Tinamou,grytin1,True,binomial,False,Grey Tinamou,True,binomial,True,openai/gpt-5.4-mini,Blue-winged Parrotlet,stop,False,"{""effort"": ""none""}",no_reasoning,770,50,10,60,,blue winged parrotlet,gray tinamou,False,False,,4,hallucinated
CBRO#0014,Tinamus solitarius,Tinamus,solitarius,Tinamidae,Tinamiformes,macuco,Solitary Tinamou,BR,False,False,False,False,,BR,Solitary Tinamou,soltin1,True,binomial,False,Solitary Tinamou,True,binomial,False,openai/gpt-5.4-mini,Noisy Piping-Tinamu,stop,False,"{""effort"": ""none""}",no_reasoning,715,49,11,60,,noisy piping tinamu,solitary tinamou,False,False,,4,hallucinated
CBRO#0015,Tinamus major,Tinamus,major,Tinamidae,Tinamiformes,inhambu-serra,Great Tinamou,BR,False,False,False,False,,BR,Great Tinamou,gretin1,True,binomial,False,Great Tinamou,True,binomial,False,openai/gpt-5.4-mini,Grey Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,755,51,8,59,,grey tinamou,great tinamou,False,False,,1,intra_genus
CBRO#0020,Tinamus guttatus,Tinamus,guttatus,Tinamidae,Tinamiformes,inhambu-galinha,White-throated Tinamou,BR,False,False,False,False,,BR,White-throated Tinamou,whttin1,True,binomial,False,White-throated Tinamou,True,binomial,False,openai/gpt-5.4-mini,Little Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,928,52,8,60,,little tinamou,white throated tinamou,False,False,,2,intra_family
CBRO#0022,Crypturellus cinereus,Crypturellus,cinereus,Tinamidae,Tinamiformes,inhambu-pixuna,Cinereous Tinamou,BR,False,False,False,False,,BR,Cinereous Tinamou,cintin1,True,binomial,False,Cinereous Tinamou,True,binomial,False,openai/gpt-5.4-mini,Black Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,749,52,8,60,,black tinamou,cinereous tinamou,False,False,,4,hallucinated
CBRO#0023,Crypturellus soui,Crypturellus,soui,Tinamidae,Tinamiformes,tururim,Little Tinamou,BR,False,False,False,False,,BR,Little Tinamou,littin1,True,binomial,False,Little Tinamou,True,binomial,False,openai/gpt-5.4-mini,Saffron Finch,stop,False,"{""effort"": ""none""}",no_reasoning,748,50,8,58,,saffron finch,little tinamou,False,False,,4,hallucinated
CBRO#0027,Crypturellus obsoletus,Crypturellus,obsoletus,Tinamidae,Tinamiformes,inhambuguaçu,Brown Tinamou,BR,False,False,False,False,,BR,Brown Tinamou,brotin1,True,binomial,False,Brown Tinamou,True,binomial,False,openai/gpt-5.4-mini,Greater Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,778,52,8,60,,greater tinamou,brown tinamou,False,False,,4,hallucinated
CBRO#0031,Crypturellus undulatus,Crypturellus,undulatus,Tinamidae,Tinamiformes,jaó,Undulated Tinamou,BR,False,False,False,False,,BR,Undulated Tinamou,undtin1,True,binomial,False,Undulated Tinamou,True,binomial,False,openai/gpt-5.4-mini,Bellbird,stop,False,"{""effort"": ""none""}",no_reasoning,641,49,6,55,,bellbird,undulated tinamou,False,False,,4,hallucinated
CBRO#0037,Crypturellus strigulosus,Crypturellus,strigulosus,Tinamidae,Tinamiformes,inhambu-relógio,Brazilian Tinamou,BR,False,False,False,False,,BR,Brazilian Tinamou,bratin1,True,binomial,False,Brazilian Tinamou,True,binomial,False,openai/gpt-5.4-mini,Moustached Owl,stop,False,"{""effort"": ""none""}",no_reasoning,778,52,8,60,,moustached owl,brazilian tinamou,False,False,,4,hallucinated
