cbro_id,scientific_name,genus,species_epithet,family,order,portuguese_name,english_name_cbro,occurrence,endemic_brazil,extinct,introduced,status_uncertain,origin_directions,status_raw,english_name_ebird,ebird_species_code,ebird_matched,ebird_match_method,name_disputed,english_name_avilist,avilist_matched,avilist_match_method,name_disputed_avilist,model,model_response,finish_reason,truncated,reasoning_config,benchmark_mode,latency_ms,prompt_tokens,completion_tokens,total_tokens,error,normalized_response,normalized_target,exact_match,acceptable_match,match_source,taxonomic_distance,error_type,generation_status
CBRO#0004,Rhea americana,Rhea,americana,Rheidae,Rheiformes,ema,Greater Rhea,BR,False,False,False,False,,BR,Greater Rhea,grerhe1,True,binomial,False,Greater Rhea,True,binomial,False,openai/gpt-5.5,Greater Rhea,stop,False,"{""effort"": ""none""}",no_reasoning,1052,48,7,55,,greater rhea,greater rhea,True,True,cbro;ebird;avilist,0,correct,complete
CBRO#0011,Tinamus tao,Tinamus,tao,Tinamidae,Tinamiformes,azulona,Gray Tinamou,BR,False,False,False,False,,BR,Gray Tinamou,grytin1,True,binomial,False,Grey Tinamou,True,binomial,True,openai/gpt-5.5,Large-billed Antwren,stop,False,"{""effort"": ""none""}",no_reasoning,1608,50,10,60,,large billed antwren,gray tinamou,False,False,,4,hallucinated,complete
CBRO#0014,Tinamus solitarius,Tinamus,solitarius,Tinamidae,Tinamiformes,macuco,Solitary Tinamou,BR,False,False,False,False,,BR,Solitary Tinamou,soltin1,True,binomial,False,Solitary Tinamou,True,binomial,False,openai/gpt-5.5,Solitary Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,1373,49,9,58,,solitary tinamou,solitary tinamou,True,True,cbro;ebird;avilist,0,correct,complete
CBRO#0015,Tinamus major,Tinamus,major,Tinamidae,Tinamiformes,inhambu-serra,Great Tinamou,BR,False,False,False,False,,BR,Great Tinamou,gretin1,True,binomial,False,Great Tinamou,True,binomial,False,openai/gpt-5.5,Brown Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,1236,51,8,59,,brown tinamou,great tinamou,False,False,,2,intra_family,complete
CBRO#0020,Tinamus guttatus,Tinamus,guttatus,Tinamidae,Tinamiformes,inhambu-galinha,White-throated Tinamou,BR,False,False,False,False,,BR,White-throated Tinamou,whttin1,True,binomial,False,White-throated Tinamou,True,binomial,False,openai/gpt-5.5,Small-billed Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,1357,52,10,62,,small billed tinamou,white throated tinamou,False,False,,2,intra_family,complete
CBRO#0022,Crypturellus cinereus,Crypturellus,cinereus,Tinamidae,Tinamiformes,inhambu-pixuna,Cinereous Tinamou,BR,False,False,False,False,,BR,Cinereous Tinamou,cintin1,True,binomial,False,Cinereous Tinamou,True,binomial,False,openai/gpt-5.5,Undulated Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,2264,52,9,61,,undulated tinamou,cinereous tinamou,False,False,,1,intra_genus,complete
CBRO#0023,Crypturellus soui,Crypturellus,soui,Tinamidae,Tinamiformes,tururim,Little Tinamou,BR,False,False,False,False,,BR,Little Tinamou,littin1,True,binomial,False,Little Tinamou,True,binomial,False,openai/gpt-5.5,Marbled Wood-Quail,stop,False,"{""effort"": ""none""}",no_reasoning,1349,50,10,60,,marbled wood quail,little tinamou,False,False,,4,hallucinated,complete
CBRO#0027,Crypturellus obsoletus,Crypturellus,obsoletus,Tinamidae,Tinamiformes,inhambuguaçu,Brown Tinamou,BR,False,False,False,False,,BR,Brown Tinamou,brotin1,True,binomial,False,Brown Tinamou,True,binomial,False,openai/gpt-5.5,Great Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,1325,52,8,60,,great tinamou,brown tinamou,False,False,,2,intra_family,complete
CBRO#0031,Crypturellus undulatus,Crypturellus,undulatus,Tinamidae,Tinamiformes,jaó,Undulated Tinamou,BR,False,False,False,False,,BR,Undulated Tinamou,undtin1,True,binomial,False,Undulated Tinamou,True,binomial,False,openai/gpt-5.5,Yellow-legged Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,1524,49,9,58,,yellow legged tinamou,undulated tinamou,False,False,,1,intra_genus,complete
CBRO#0037,Crypturellus strigulosus,Crypturellus,strigulosus,Tinamidae,Tinamiformes,inhambu-relógio,Brazilian Tinamou,BR,False,False,False,False,,BR,Brazilian Tinamou,bratin1,True,binomial,False,Brazilian Tinamou,True,binomial,False,openai/gpt-5.5,Variegated Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,1590,52,10,62,,variegated tinamou,brazilian tinamou,False,False,,1,intra_genus,complete
