cbro_id,scientific_name,genus,species_epithet,family,order,portuguese_name,english_name_cbro,occurrence,endemic_brazil,extinct,introduced,status_uncertain,origin_directions,status_raw,english_name_ebird,ebird_species_code,ebird_matched,ebird_match_method,name_disputed,english_name_avilist,avilist_matched,avilist_match_method,name_disputed_avilist,model,run_started_at_utc,dataset_sha256,config_sha256,prompt_sha256,git_commit,python_version,requests_version,batch_id,execution_mode,model_response,finish_reason,truncated,reasoning_config,effective_reasoning_config,benchmark_mode,resolved_model,generation_id,request_id,provider,response_created,requested_at_utc,latency_ms,prompt_tokens,completion_tokens,total_tokens,error,normalized_response,normalized_target,exact_match,acceptable_match,match_source,generation_status,taxonomic_distance,error_type
CBRO#0004,Rhea americana,Rhea,americana,Rheidae,Rheiformes,ema,Greater Rhea,BR,False,False,False,False,,BR,Greater Rhea,grerhe1,True,binomial,False,Greater Rhea,True,binomial,False,openai/gpt-5.6-sol,2026-09-02T17:03:07.018357+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,49315225e7da4f97389e25e9fdf84567d8efeffb6f120d49352997890291c27c,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,e6685f4e792578435a1a400deb9699ba75317ded,3.12.3,2.34.2,batch-1788368587-k7ek5Yt2W3re415FwLhd,openrouter_batch_sequence,Greater Rhea,stop,False,"{""effort"": ""minimal""}","accepted_not_echoed_by_api:{""effort"": ""minimal""}",reasoning,openai/gpt-5.6-sol,gen-batch-1788368587-63ece20840d966602c97,971a96e8-7523-4bd2-89b1-fc2295687017,OpenAI,1788368706,2026-09-02T17:40:55.897823+00:00,0,48,30,78,,greater rhea,greater rhea,True,True,cbro;ebird;avilist,complete,0,correct
CBRO#0011,Tinamus tao,Tinamus,tao,Tinamidae,Tinamiformes,azulona,Gray Tinamou,BR,False,False,False,False,,BR,Gray Tinamou,grytin1,True,binomial,False,Grey Tinamou,True,binomial,True,openai/gpt-5.6-sol,2026-09-02T17:03:07.018357+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,49315225e7da4f97389e25e9fdf84567d8efeffb6f120d49352997890291c27c,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,e6685f4e792578435a1a400deb9699ba75317ded,3.12.3,2.34.2,batch-1788368587-k7ek5Yt2W3re415FwLhd,openrouter_batch_sequence,Gray Tinamou,stop,False,"{""effort"": ""minimal""}","accepted_not_echoed_by_api:{""effort"": ""minimal""}",reasoning,openai/gpt-5.6-sol,gen-batch-1788368587-5d5b4eea1a49efa81ee9,798b533a-5512-443b-8925-dae28eb35a66,OpenAI,1788368706,2026-09-02T17:40:55.897895+00:00,0,50,141,191,,gray tinamou,gray tinamou,True,True,cbro;ebird,complete,0,correct
CBRO#0014,Tinamus solitarius,Tinamus,solitarius,Tinamidae,Tinamiformes,macuco,Solitary Tinamou,BR,False,False,False,False,,BR,Solitary Tinamou,soltin1,True,binomial,False,Solitary Tinamou,True,binomial,False,openai/gpt-5.6-sol,2026-09-02T17:03:07.018357+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,49315225e7da4f97389e25e9fdf84567d8efeffb6f120d49352997890291c27c,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,e6685f4e792578435a1a400deb9699ba75317ded,3.12.3,2.34.2,batch-1788368587-k7ek5Yt2W3re415FwLhd,openrouter_batch_sequence,Solitary Tinamou,stop,False,"{""effort"": ""minimal""}","accepted_not_echoed_by_api:{""effort"": ""minimal""}",reasoning,openai/gpt-5.6-sol,gen-batch-1788368587-7ad82b92f367eb9c72a3,8e55b28c-e9d2-4062-b4cd-a8a51ef82511,OpenAI,1788368613,2026-09-02T17:40:55.897922+00:00,0,49,46,95,,solitary tinamou,solitary tinamou,True,True,cbro;ebird;avilist,complete,0,correct
CBRO#0015,Tinamus major,Tinamus,major,Tinamidae,Tinamiformes,inhambu-serra,Great Tinamou,BR,False,False,False,False,,BR,Great Tinamou,gretin1,True,binomial,False,Great Tinamou,True,binomial,False,openai/gpt-5.6-sol,2026-09-02T17:03:07.018357+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,49315225e7da4f97389e25e9fdf84567d8efeffb6f120d49352997890291c27c,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,e6685f4e792578435a1a400deb9699ba75317ded,3.12.3,2.34.2,batch-1788368587-k7ek5Yt2W3re415FwLhd,openrouter_batch_sequence,Highland Tinamou,stop,False,"{""effort"": ""minimal""}","accepted_not_echoed_by_api:{""effort"": ""minimal""}",reasoning,openai/gpt-5.6-sol,gen-batch-1788368587-8eb6284669d7bb931d5b,fe9bc3a8-5a75-443c-bb22-0204fa8738f0,OpenAI,1788368706,2026-09-02T17:40:55.897943+00:00,0,51,765,816,,highland tinamou,great tinamou,False,False,,complete,4,hallucinated
CBRO#0020,Tinamus guttatus,Tinamus,guttatus,Tinamidae,Tinamiformes,inhambu-galinha,White-throated Tinamou,BR,False,False,False,False,,BR,White-throated Tinamou,whttin1,True,binomial,False,White-throated Tinamou,True,binomial,False,openai/gpt-5.6-sol,2026-09-02T17:03:07.018357+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,49315225e7da4f97389e25e9fdf84567d8efeffb6f120d49352997890291c27c,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,e6685f4e792578435a1a400deb9699ba75317ded,3.12.3,2.34.2,batch-1788368587-k7ek5Yt2W3re415FwLhd,openrouter_batch_sequence,White-throated Tinamou,stop,False,"{""effort"": ""minimal""}","accepted_not_echoed_by_api:{""effort"": ""minimal""}",reasoning,openai/gpt-5.6-sol,gen-batch-1788368587-cb290d67196b3d8ae167,28d6bd07-98c6-4e77-9320-e8cafee9e4e6,OpenAI,1788368706,2026-09-02T17:40:55.897966+00:00,0,52,407,459,,white throated tinamou,white throated tinamou,True,True,cbro;ebird;avilist,complete,0,correct
CBRO#0022,Crypturellus cinereus,Crypturellus,cinereus,Tinamidae,Tinamiformes,inhambu-pixuna,Cinereous Tinamou,BR,False,False,False,False,,BR,Cinereous Tinamou,cintin1,True,binomial,False,Cinereous Tinamou,True,binomial,False,openai/gpt-5.6-sol,2026-09-02T17:03:07.018357+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,49315225e7da4f97389e25e9fdf84567d8efeffb6f120d49352997890291c27c,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,e6685f4e792578435a1a400deb9699ba75317ded,3.12.3,2.34.2,batch-1788368587-k7ek5Yt2W3re415FwLhd,openrouter_batch_sequence,Cinereous Tinamou,stop,False,"{""effort"": ""minimal""}","accepted_not_echoed_by_api:{""effort"": ""minimal""}",reasoning,openai/gpt-5.6-sol,gen-batch-1788368587-e58ade283c836238554b,389eef06-861c-46d6-a6d3-001e8b8c8fad,OpenAI,1788368613,2026-09-02T17:40:55.897988+00:00,0,52,198,250,,cinereous tinamou,cinereous tinamou,True,True,cbro;ebird;avilist,complete,0,correct
CBRO#0023,Crypturellus soui,Crypturellus,soui,Tinamidae,Tinamiformes,tururim,Little Tinamou,BR,False,False,False,False,,BR,Little Tinamou,littin1,True,binomial,False,Little Tinamou,True,binomial,False,openai/gpt-5.6-sol,2026-09-02T17:03:07.018357+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,49315225e7da4f97389e25e9fdf84567d8efeffb6f120d49352997890291c27c,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,e6685f4e792578435a1a400deb9699ba75317ded,3.12.3,2.34.2,batch-1788368587-k7ek5Yt2W3re415FwLhd,openrouter_batch_sequence,Little Tinamou,stop,False,"{""effort"": ""minimal""}","accepted_not_echoed_by_api:{""effort"": ""minimal""}",reasoning,openai/gpt-5.6-sol,gen-batch-1788368587-42939c2dce687f55dd3b,9a2c33f2-7d7f-461e-a77b-b868500415f4,OpenAI,1788368613,2026-09-02T17:40:55.898007+00:00,0,50,133,183,,little tinamou,little tinamou,True,True,cbro;ebird;avilist,complete,0,correct
CBRO#0027,Crypturellus obsoletus,Crypturellus,obsoletus,Tinamidae,Tinamiformes,inhambuguaçu,Brown Tinamou,BR,False,False,False,False,,BR,Brown Tinamou,brotin1,True,binomial,False,Brown Tinamou,True,binomial,False,openai/gpt-5.6-sol,2026-09-02T17:03:07.018357+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,49315225e7da4f97389e25e9fdf84567d8efeffb6f120d49352997890291c27c,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,e6685f4e792578435a1a400deb9699ba75317ded,3.12.3,2.34.2,batch-1788368587-k7ek5Yt2W3re415FwLhd,openrouter_batch_sequence,Solitary Tinamou,stop,False,"{""effort"": ""minimal""}","accepted_not_echoed_by_api:{""effort"": ""minimal""}",reasoning,openai/gpt-5.6-sol,gen-batch-1788368587-7eeef91cabd19c4629d0,4e9e113b-690e-4e4d-b50b-af54bbf28118,OpenAI,1788368613,2026-09-02T17:40:55.898026+00:00,0,52,61,113,,solitary tinamou,brown tinamou,False,False,,complete,2,intra_family
CBRO#0031,Crypturellus undulatus,Crypturellus,undulatus,Tinamidae,Tinamiformes,jaó,Undulated Tinamou,BR,False,False,False,False,,BR,Undulated Tinamou,undtin1,True,binomial,False,Undulated Tinamou,True,binomial,False,openai/gpt-5.6-sol,2026-09-02T17:03:07.018357+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,49315225e7da4f97389e25e9fdf84567d8efeffb6f120d49352997890291c27c,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,e6685f4e792578435a1a400deb9699ba75317ded,3.12.3,2.34.2,batch-1788368587-k7ek5Yt2W3re415FwLhd,openrouter_batch_sequence,Undulated Tinamou,stop,False,"{""effort"": ""minimal""}","accepted_not_echoed_by_api:{""effort"": ""minimal""}",reasoning,openai/gpt-5.6-sol,gen-batch-1788368587-4af573daf132d3973447,6c418f0a-7d94-4923-8bc0-5229838d435b,OpenAI,1788368613,2026-09-02T17:40:55.898051+00:00,0,49,54,103,,undulated tinamou,undulated tinamou,True,True,cbro;ebird;avilist,complete,0,correct
CBRO#0037,Crypturellus strigulosus,Crypturellus,strigulosus,Tinamidae,Tinamiformes,inhambu-relógio,Brazilian Tinamou,BR,False,False,False,False,,BR,Brazilian Tinamou,bratin1,True,binomial,False,Brazilian Tinamou,True,binomial,False,openai/gpt-5.6-sol,2026-09-02T17:03:07.018357+00:00,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,49315225e7da4f97389e25e9fdf84567d8efeffb6f120d49352997890291c27c,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,e6685f4e792578435a1a400deb9699ba75317ded,3.12.3,2.34.2,batch-1788368587-k7ek5Yt2W3re415FwLhd,openrouter_batch_sequence,Brazilian Tinamou,stop,False,"{""effort"": ""minimal""}","accepted_not_echoed_by_api:{""effort"": ""minimal""}",reasoning,openai/gpt-5.6-sol,gen-batch-1788368587-ab8b01b30d610068df9e,d54301a7-f89f-4dae-a4bd-cb53d1507f0e,OpenAI,1788368616,2026-09-02T17:40:55.898069+00:00,0,52,360,412,,brazilian tinamou,brazilian tinamou,True,True,cbro;ebird;avilist,complete,0,correct
