cbro_id,scientific_name,genus,species_epithet,family,order,portuguese_name,english_name_cbro,occurrence,endemic_brazil,extinct,introduced,status_uncertain,origin_directions,status_raw,english_name_ebird,ebird_species_code,ebird_matched,ebird_match_method,name_disputed,english_name_avilist,avilist_matched,avilist_match_method,name_disputed_avilist,model,config_sha256,dataset_sha256,git_commit,prompt_sha256,python_version,requests_version,run_started_at_utc,batch_id,execution_mode,model_response,finish_reason,truncated,reasoning_config,effective_reasoning_config,benchmark_mode,resolved_model,generation_id,request_id,provider,response_created,requested_at_utc,latency_ms,prompt_tokens,completion_tokens,total_tokens,error,normalized_response,normalized_target,exact_match,acceptable_match,match_source,generation_status,taxonomic_distance,error_type
CBRO#0004,Rhea americana,Rhea,americana,Rheidae,Rheiformes,ema,Greater Rhea,BR,False,False,False,False,,BR,Greater Rhea,grerhe1,True,binomial,False,Greater Rhea,True,binomial,False,openai/gpt-6-astra,3f113db82743aa31bd91b93a8b57367f5f7903e1a84744ad632f0d493c7ed7b2,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,5448c37a41c7b0af096601ee7fa2ed5f5636790a,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,3.12.3,2.34.2,2026-09-07T21:13:07.877410+00:00,batch-1788815588-LX869OnW3kO2zkWcG21l,openrouter_batch_sequence,Greater Rhea,stop,False,"{""effort"": ""minimal""}","accepted_not_echoed_by_api:{""effort"": ""minimal""}",reasoning,openai/gpt-6-astra,gen-batch-1788815588-c684b479d2e17598cd54,f41fe3e5-470d-4a1d-954c-c7590bd0ee35,OpenAI,1788815657,2026-09-07T22:01:40.236147+00:00,0,48,7,55,,greater rhea,greater rhea,True,True,cbro;ebird;avilist,complete,0,correct
CBRO#0011,Tinamus tao,Tinamus,tao,Tinamidae,Tinamiformes,azulona,Gray Tinamou,BR,False,False,False,False,,BR,Gray Tinamou,grytin1,True,binomial,False,Grey Tinamou,True,binomial,True,openai/gpt-6-astra,3f113db82743aa31bd91b93a8b57367f5f7903e1a84744ad632f0d493c7ed7b2,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,5448c37a41c7b0af096601ee7fa2ed5f5636790a,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,3.12.3,2.34.2,2026-09-07T21:13:07.877410+00:00,batch-1788815588-LX869OnW3kO2zkWcG21l,openrouter_batch_sequence,Grey Tinamou,stop,False,"{""effort"": ""minimal""}","accepted_not_echoed_by_api:{""effort"": ""minimal""}",reasoning,openai/gpt-6-astra,gen-batch-1788815588-aae4bb6e78d333664ff9,6f7d17a6-9121-4f0a-b62e-551f0885b77c,OpenAI,1788815657,2026-09-07T22:01:40.236216+00:00,0,50,33,83,,grey tinamou,gray tinamou,False,True,avilist,complete,0,correct
CBRO#0014,Tinamus solitarius,Tinamus,solitarius,Tinamidae,Tinamiformes,macuco,Solitary Tinamou,BR,False,False,False,False,,BR,Solitary Tinamou,soltin1,True,binomial,False,Solitary Tinamou,True,binomial,False,openai/gpt-6-astra,3f113db82743aa31bd91b93a8b57367f5f7903e1a84744ad632f0d493c7ed7b2,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,5448c37a41c7b0af096601ee7fa2ed5f5636790a,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,3.12.3,2.34.2,2026-09-07T21:13:07.877410+00:00,batch-1788815588-LX869OnW3kO2zkWcG21l,openrouter_batch_sequence,Solitary Tinamou,stop,False,"{""effort"": ""minimal""}","accepted_not_echoed_by_api:{""effort"": ""minimal""}",reasoning,openai/gpt-6-astra,gen-batch-1788815588-ca21fd004a7f7dc56f36,247eee89-40c3-48de-9f5f-10db90073f27,OpenAI,1788815597,2026-09-07T22:01:40.236243+00:00,0,49,9,58,,solitary tinamou,solitary tinamou,True,True,cbro;ebird;avilist,complete,0,correct
CBRO#0015,Tinamus major,Tinamus,major,Tinamidae,Tinamiformes,inhambu-serra,Great Tinamou,BR,False,False,False,False,,BR,Great Tinamou,gretin1,True,binomial,False,Great Tinamou,True,binomial,False,openai/gpt-6-astra,3f113db82743aa31bd91b93a8b57367f5f7903e1a84744ad632f0d493c7ed7b2,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,5448c37a41c7b0af096601ee7fa2ed5f5636790a,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,3.12.3,2.34.2,2026-09-07T21:13:07.877410+00:00,batch-1788815588-LX869OnW3kO2zkWcG21l,openrouter_batch_sequence,Brown Tinamou,stop,False,"{""effort"": ""minimal""}","accepted_not_echoed_by_api:{""effort"": ""minimal""}",reasoning,openai/gpt-6-astra,gen-batch-1788815588-a577a3d27b2ace5027e3,2fa0f8be-69ae-44a9-bc10-d45847e177c1,OpenAI,1788815657,2026-09-07T22:01:40.236265+00:00,0,51,229,280,,brown tinamou,great tinamou,False,False,,complete,2,intra_family
CBRO#0020,Tinamus guttatus,Tinamus,guttatus,Tinamidae,Tinamiformes,inhambu-galinha,White-throated Tinamou,BR,False,False,False,False,,BR,White-throated Tinamou,whttin1,True,binomial,False,White-throated Tinamou,True,binomial,False,openai/gpt-6-astra,3f113db82743aa31bd91b93a8b57367f5f7903e1a84744ad632f0d493c7ed7b2,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,5448c37a41c7b0af096601ee7fa2ed5f5636790a,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,3.12.3,2.34.2,2026-09-07T21:13:07.877410+00:00,batch-1788815588-LX869OnW3kO2zkWcG21l,openrouter_batch_sequence,White throated Tinamou,stop,False,"{""effort"": ""minimal""}","accepted_not_echoed_by_api:{""effort"": ""minimal""}",reasoning,openai/gpt-6-astra,gen-batch-1788815588-0c9bc50abe1fb4a21ecf,47ae3f56-dbcd-4ff7-88af-77cf2d77c292,OpenAI,1788815597,2026-09-07T22:01:40.236318+00:00,0,52,136,188,,white throated tinamou,white throated tinamou,True,True,cbro;ebird;avilist,complete,0,correct
CBRO#0022,Crypturellus cinereus,Crypturellus,cinereus,Tinamidae,Tinamiformes,inhambu-pixuna,Cinereous Tinamou,BR,False,False,False,False,,BR,Cinereous Tinamou,cintin1,True,binomial,False,Cinereous Tinamou,True,binomial,False,openai/gpt-6-astra,3f113db82743aa31bd91b93a8b57367f5f7903e1a84744ad632f0d493c7ed7b2,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,5448c37a41c7b0af096601ee7fa2ed5f5636790a,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,3.12.3,2.34.2,2026-09-07T21:13:07.877410+00:00,batch-1788815588-LX869OnW3kO2zkWcG21l,openrouter_batch_sequence,Cinereous Tinamou,stop,False,"{""effort"": ""minimal""}","accepted_not_echoed_by_api:{""effort"": ""minimal""}",reasoning,openai/gpt-6-astra,gen-batch-1788815588-cf5f231a00f6e9c09fea,7b7292e1-ea89-4fd2-a78f-a804725fc30c,OpenAI,1788815598,2026-09-07T22:01:40.236341+00:00,0,52,84,136,,cinereous tinamou,cinereous tinamou,True,True,cbro;ebird;avilist,complete,0,correct
CBRO#0023,Crypturellus soui,Crypturellus,soui,Tinamidae,Tinamiformes,tururim,Little Tinamou,BR,False,False,False,False,,BR,Little Tinamou,littin1,True,binomial,False,Little Tinamou,True,binomial,False,openai/gpt-6-astra,3f113db82743aa31bd91b93a8b57367f5f7903e1a84744ad632f0d493c7ed7b2,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,5448c37a41c7b0af096601ee7fa2ed5f5636790a,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,3.12.3,2.34.2,2026-09-07T21:13:07.877410+00:00,batch-1788815588-LX869OnW3kO2zkWcG21l,openrouter_batch_sequence,Little Tinamou,stop,False,"{""effort"": ""minimal""}","accepted_not_echoed_by_api:{""effort"": ""minimal""}",reasoning,openai/gpt-6-astra,gen-batch-1788815588-44116eae60e2b757a1ba,e4d42581-6d63-4a66-82d5-5cd49efbf314,OpenAI,1788815597,2026-09-07T22:01:40.236362+00:00,0,50,42,92,,little tinamou,little tinamou,True,True,cbro;ebird;avilist,complete,0,correct
CBRO#0027,Crypturellus obsoletus,Crypturellus,obsoletus,Tinamidae,Tinamiformes,inhambuguaçu,Brown Tinamou,BR,False,False,False,False,,BR,Brown Tinamou,brotin1,True,binomial,False,Brown Tinamou,True,binomial,False,openai/gpt-6-astra,3f113db82743aa31bd91b93a8b57367f5f7903e1a84744ad632f0d493c7ed7b2,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,5448c37a41c7b0af096601ee7fa2ed5f5636790a,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,3.12.3,2.34.2,2026-09-07T21:13:07.877410+00:00,batch-1788815588-LX869OnW3kO2zkWcG21l,openrouter_batch_sequence,Brown Tinamou,stop,False,"{""effort"": ""minimal""}","accepted_not_echoed_by_api:{""effort"": ""minimal""}",reasoning,openai/gpt-6-astra,gen-batch-1788815588-2073e2957d6323bfe527,d5248850-f912-43df-af01-4d2244615ef9,OpenAI,1788815601,2026-09-07T22:01:40.236381+00:00,0,52,34,86,,brown tinamou,brown tinamou,True,True,cbro;ebird;avilist,complete,0,correct
CBRO#0031,Crypturellus undulatus,Crypturellus,undulatus,Tinamidae,Tinamiformes,jaó,Undulated Tinamou,BR,False,False,False,False,,BR,Undulated Tinamou,undtin1,True,binomial,False,Undulated Tinamou,True,binomial,False,openai/gpt-6-astra,3f113db82743aa31bd91b93a8b57367f5f7903e1a84744ad632f0d493c7ed7b2,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,5448c37a41c7b0af096601ee7fa2ed5f5636790a,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,3.12.3,2.34.2,2026-09-07T21:13:07.877410+00:00,batch-1788815588-LX869OnW3kO2zkWcG21l,openrouter_batch_sequence,Undulated Tinamou,stop,False,"{""effort"": ""minimal""}","accepted_not_echoed_by_api:{""effort"": ""minimal""}",reasoning,openai/gpt-6-astra,gen-batch-1788815588-6984ca51d4861935e64b,100c1c19-03c5-4acb-9cb9-49e9a2b7e50f,OpenAI,1788815601,2026-09-07T22:01:40.236400+00:00,0,49,57,106,,undulated tinamou,undulated tinamou,True,True,cbro;ebird;avilist,complete,0,correct
CBRO#0037,Crypturellus strigulosus,Crypturellus,strigulosus,Tinamidae,Tinamiformes,inhambu-relógio,Brazilian Tinamou,BR,False,False,False,False,,BR,Brazilian Tinamou,bratin1,True,binomial,False,Brazilian Tinamou,True,binomial,False,openai/gpt-6-astra,3f113db82743aa31bd91b93a8b57367f5f7903e1a84744ad632f0d493c7ed7b2,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,5448c37a41c7b0af096601ee7fa2ed5f5636790a,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,3.12.3,2.34.2,2026-09-07T21:13:07.877410+00:00,batch-1788815588-LX869OnW3kO2zkWcG21l,openrouter_batch_sequence,Brazilian Tinamou,stop,False,"{""effort"": ""minimal""}","accepted_not_echoed_by_api:{""effort"": ""minimal""}",reasoning,openai/gpt-6-astra,gen-batch-1788815588-9034de05e075f45c7b77,2ed13c43-c753-4fce-b985-aa18a1ead6e8,OpenAI,1788815601,2026-09-07T22:01:40.236419+00:00,0,52,72,124,,brazilian tinamou,brazilian tinamou,True,True,cbro;ebird;avilist,complete,0,correct
CBRO#0038,Crypturellus duidae,Crypturellus,duidae,Tinamidae,Tinamiformes,inhambu-de-pé-cinza,Gray-legged Tinamou,BR,False,False,False,True,,BR#,Gray-legged Tinamou,gyltin1,True,binomial,False,Grey-legged Tinamou,True,binomial,True,openai/gpt-6-astra,3f113db82743aa31bd91b93a8b57367f5f7903e1a84744ad632f0d493c7ed7b2,df6d737917b5d47bd7b2730d49c872473eeb38ad7b697d7f9e1dd061c842342e,5448c37a41c7b0af096601ee7fa2ed5f5636790a,2cf9e7f88e9d3e34f668231b6d05aadf6f0b9400a839114d823288ade52c226b,3.12.3,2.34.2,2026-09-07T21:13:07.877410+00:00,batch-1788815588-LX869OnW3kO2zkWcG21l,openrouter_batch_sequence,Grey-legged Tinamou,stop,False,"{""effort"": ""minimal""}","accepted_not_echoed_by_api:{""effort"": ""minimal""}",reasoning,openai/gpt-6-astra,gen-batch-1788815588-7d7a43683744cb85ce50,bb6d97f0-683e-4f1d-b940-af808d72cc05,OpenAI,1788815602,2026-09-07T22:01:40.236437+00:00,0,54,58,112,,grey legged tinamou,gray legged tinamou,False,True,avilist,complete,0,correct
