cbro_id,scientific_name,genus,species_epithet,family,order,portuguese_name,english_name_cbro,occurrence,endemic_brazil,extinct,introduced,status_uncertain,origin_directions,status_raw,english_name_ebird,ebird_species_code,ebird_matched,ebird_match_method,name_disputed,english_name_avilist,avilist_matched,avilist_match_method,name_disputed_avilist,model,model_response,finish_reason,truncated,reasoning_config,benchmark_mode,latency_ms,prompt_tokens,completion_tokens,total_tokens,error,normalized_response,normalized_target,exact_match,acceptable_match,match_source,taxonomic_distance,error_type
CBRO#0004,Rhea americana,Rhea,americana,Rheidae,Rheiformes,ema,Greater Rhea,BR,False,False,False,False,,BR,Greater Rhea,grerhe1,True,binomial,False,Greater Rhea,True,binomial,False,qwen/qwen3.7-plus,Greater Rhea,stop,False,"{""effort"": ""none""}",no_reasoning,1629,55,3,58,,greater rhea,greater rhea,True,True,cbro;ebird;avilist,0,correct
CBRO#0011,Tinamus tao,Tinamus,tao,Tinamidae,Tinamiformes,azulona,Gray Tinamou,BR,False,False,False,False,,BR,Gray Tinamou,grytin1,True,binomial,False,Grey Tinamou,True,binomial,True,qwen/qwen3.7-plus,Blue-and-yellow Macaw,stop,False,"{""effort"": ""none""}",no_reasoning,1361,57,5,62,,blue and yellow macaw,gray tinamou,False,False,,4,hallucinated
CBRO#0014,Tinamus solitarius,Tinamus,solitarius,Tinamidae,Tinamiformes,macuco,Solitary Tinamou,BR,False,False,False,False,,BR,Solitary Tinamou,soltin1,True,binomial,False,Solitary Tinamou,True,binomial,False,qwen/qwen3.7-plus,Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,1337,56,3,59,,tinamou,solitary tinamou,False,False,,4,hallucinated
CBRO#0015,Tinamus major,Tinamus,major,Tinamidae,Tinamiformes,inhambu-serra,Great Tinamou,BR,False,False,False,False,,BR,Great Tinamou,gretin1,True,binomial,False,Great Tinamou,True,binomial,False,qwen/qwen3.7-plus,Highland Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,1671,58,5,63,,highland tinamou,great tinamou,False,False,,4,hallucinated
CBRO#0020,Tinamus guttatus,Tinamus,guttatus,Tinamidae,Tinamiformes,inhambu-galinha,White-throated Tinamou,BR,False,False,False,False,,BR,White-throated Tinamou,whttin1,True,binomial,False,White-throated Tinamou,True,binomial,False,qwen/qwen3.7-plus,Grey Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,1286,59,4,63,,grey tinamou,white throated tinamou,False,False,,1,intra_genus
CBRO#0022,Crypturellus cinereus,Crypturellus,cinereus,Tinamidae,Tinamiformes,inhambu-pixuna,Cinereous Tinamou,BR,False,False,False,False,,BR,Cinereous Tinamou,cintin1,True,binomial,False,Cinereous Tinamou,True,binomial,False,qwen/qwen3.7-plus,Black Tinamou,stop,False,"{""effort"": ""none""}",no_reasoning,1613,59,4,63,,black tinamou,cinereous tinamou,False,False,,4,hallucinated
CBRO#0023,Crypturellus soui,Crypturellus,soui,Tinamidae,Tinamiformes,tururim,Little Tinamou,BR,False,False,False,False,,BR,Little Tinamou,littin1,True,binomial,False,Little Tinamou,True,binomial,False,qwen/qwen3.7-plus,Little Blue Heron,stop,False,"{""effort"": ""none""}",no_reasoning,1701,57,4,61,,little blue heron,little tinamou,False,False,,4,hallucinated
CBRO#0027,Crypturellus obsoletus,Crypturellus,obsoletus,Tinamidae,Tinamiformes,inhambuguaçu,Brown Tinamou,BR,False,False,False,False,,BR,Brown Tinamou,brotin1,True,binomial,False,Brown Tinamou,True,binomial,False,qwen/qwen3.7-plus,Rufous-vented Chachalaca,stop,False,"{""effort"": ""none""}",no_reasoning,1519,59,9,68,,rufous vented chachalaca,brown tinamou,False,False,,4,hallucinated
CBRO#0031,Crypturellus undulatus,Crypturellus,undulatus,Tinamidae,Tinamiformes,jaó,Undulated Tinamou,BR,False,False,False,False,,BR,Undulated Tinamou,undtin1,True,binomial,False,Undulated Tinamou,True,binomial,False,qwen/qwen3.7-plus,Rufous Nightjar,stop,False,"{""effort"": ""none""}",no_reasoning,1556,56,5,61,,rufous nightjar,undulated tinamou,False,False,,4,hallucinated
CBRO#0037,Crypturellus strigulosus,Crypturellus,strigulosus,Tinamidae,Tinamiformes,inhambu-relógio,Brazilian Tinamou,BR,False,False,False,False,,BR,Brazilian Tinamou,bratin1,True,binomial,False,Brazilian Tinamou,True,binomial,False,qwen/qwen3.7-plus,Cryptic Forest-Falcon,stop,False,"{""effort"": ""none""}",no_reasoning,1308,59,5,64,,cryptic forest falcon,brazilian tinamou,False,False,,4,hallucinated
