analysis,left,right,metric,n,estimate,ci_low,ci_high,left_only_correct,right_only_correct,p_value
bootstrap_ci,results/anthropic--claude-opus-4.8_no_reasoning.csv,,acceptable_match,1836,0.32189542483660133,0.3006535947712418,0.3431372549019608,,,
bootstrap_ci,results/anthropic--claude-sonnet-4.6_no_reasoning.csv,,acceptable_match,1836,0.24564270152505446,0.22603485838779958,0.26525054466230935,,,
bootstrap_ci,results/deepseek--deepseek-v4-pro_no_reasoning.csv,,acceptable_match,1836,0.3088235294117647,0.28812636165577343,0.3300653594771242,,,
bootstrap_ci,results/google--gemini-3.1-flash-lite_no_reasoning.csv,,acceptable_match,1836,0.32407407407407407,0.3028322440087146,0.3453159041394335,,,
bootstrap_ci,results/mistralai--mistral-small-2603_no_reasoning.csv,,acceptable_match,1836,0.16339869281045752,0.14651416122004357,0.18082788671023964,,,
bootstrap_ci,results/moonshotai--kimi-k2.6_no_reasoning.csv,,acceptable_match,1836,0.1895424836601307,0.1715686274509804,0.20751633986928106,,,
bootstrap_ci,results/openai--gpt-5.4-mini_no_reasoning.csv,,acceptable_match,1836,0.18790849673202614,0.170479302832244,0.20588235294117646,,,
bootstrap_ci,results/openai--gpt-5.5_no_reasoning.csv,,acceptable_match,1836,0.3344226579520697,0.31318082788671026,0.3562091503267974,,,
bootstrap_ci,results/qwen--qwen3.7-plus_no_reasoning.csv,,acceptable_match,1836,0.2037037037037037,0.18572984749455337,0.2222222222222222,,,
mcnemar_exact,results/anthropic--claude-opus-4.8_no_reasoning.csv,results/anthropic--claude-sonnet-4.6_no_reasoning.csv,acceptable_match,1836,,,,240,100,2.0367934436858187e-14
mcnemar_exact,results/anthropic--claude-opus-4.8_no_reasoning.csv,results/deepseek--deepseek-v4-pro_no_reasoning.csv,acceptable_match,1836,,,,184,160,0.21488751519535437
mcnemar_exact,results/anthropic--claude-opus-4.8_no_reasoning.csv,results/google--gemini-3.1-flash-lite_no_reasoning.csv,acceptable_match,1836,,,,155,159,0.8655953253718328
mcnemar_exact,results/anthropic--claude-opus-4.8_no_reasoning.csv,results/mistralai--mistral-small-2603_no_reasoning.csv,acceptable_match,1836,,,,336,45,3.624326696441777e-56
mcnemar_exact,results/anthropic--claude-opus-4.8_no_reasoning.csv,results/moonshotai--kimi-k2.6_no_reasoning.csv,acceptable_match,1836,,,,311,68,3.0835325370770624e-38
mcnemar_exact,results/anthropic--claude-opus-4.8_no_reasoning.csv,results/openai--gpt-5.4-mini_no_reasoning.csv,acceptable_match,1836,,,,316,70,1.9824787812316954e-38
mcnemar_exact,results/anthropic--claude-opus-4.8_no_reasoning.csv,results/openai--gpt-5.5_no_reasoning.csv,acceptable_match,1836,,,,150,173,0.220850687011232
mcnemar_exact,results/anthropic--claude-opus-4.8_no_reasoning.csv,results/qwen--qwen3.7-plus_no_reasoning.csv,acceptable_match,1836,,,,291,74,1.538320250866211e-31
mcnemar_exact,results/anthropic--claude-sonnet-4.6_no_reasoning.csv,results/deepseek--deepseek-v4-pro_no_reasoning.csv,acceptable_match,1836,,,,106,222,1.39671371269076e-10
mcnemar_exact,results/anthropic--claude-sonnet-4.6_no_reasoning.csv,results/google--gemini-3.1-flash-lite_no_reasoning.csv,acceptable_match,1836,,,,105,249,1.2735285486177967e-14
mcnemar_exact,results/anthropic--claude-sonnet-4.6_no_reasoning.csv,results/mistralai--mistral-small-2603_no_reasoning.csv,acceptable_match,1836,,,,227,76,1.2685394611676319e-18
mcnemar_exact,results/anthropic--claude-sonnet-4.6_no_reasoning.csv,results/moonshotai--kimi-k2.6_no_reasoning.csv,acceptable_match,1836,,,,199,96,1.9877984974311906e-09
mcnemar_exact,results/anthropic--claude-sonnet-4.6_no_reasoning.csv,results/openai--gpt-5.4-mini_no_reasoning.csv,acceptable_match,1836,,,,204,98,1.0343088366070541e-09
mcnemar_exact,results/anthropic--claude-sonnet-4.6_no_reasoning.csv,results/openai--gpt-5.5_no_reasoning.csv,acceptable_match,1836,,,,90,253,4.569110300441449e-19
mcnemar_exact,results/anthropic--claude-sonnet-4.6_no_reasoning.csv,results/qwen--qwen3.7-plus_no_reasoning.csv,acceptable_match,1836,,,,172,95,2.8410158351852414e-06
mcnemar_exact,results/deepseek--deepseek-v4-pro_no_reasoning.csv,results/google--gemini-3.1-flash-lite_no_reasoning.csv,acceptable_match,1836,,,,156,184,0.14300526680808778
mcnemar_exact,results/deepseek--deepseek-v4-pro_no_reasoning.csv,results/mistralai--mistral-small-2603_no_reasoning.csv,acceptable_match,1836,,,,311,44,1.1990835019496854e-50
