analysis,left,right,metric,n,estimate,ci_low,ci_high,left_only_correct,right_only_correct,p_value
bootstrap_ci,results/google--gemini-3.1-flash-lite_reasoning.csv,,acceptable_match,1836,0.4504357298474945,0.4275599128540305,0.4733115468409586,,,
bootstrap_ci,results/google--gemini-3.8-flash_reasoning_batch.csv,,acceptable_match,1836,0.4749455337690632,0.45206971677559915,0.49782135076252726,,,
bootstrap_ci,results/anthropic--claude-opus-4.8_reasoning.csv,,acceptable_match,1836,0.4863834422657952,0.46350762527233114,0.5092592592592593,,,
bootstrap_ci,results/anthropic--claude-sonnet-4.6_reasoning.csv,,acceptable_match,1836,0.3828976034858388,0.3611111111111111,0.40522875816993464,,,
bootstrap_ci,results/anthropic--claude-fable-5.1_reasoning_batch.csv,,acceptable_match,1836,0.4400871459694989,0.417755991285403,0.46296296296296297,,,
bootstrap_ci,results/openai--gpt-6-astra_reasoning_batch.csv,,acceptable_match,1836,0.8316993464052288,0.8142701525054467,0.8485838779956427,,,
bootstrap_ci,results/openai--gpt-5.6-sol_reasoning_batch.csv,,acceptable_match,1836,0.7815904139433552,0.7625272331154684,0.8001089324618736,,,
bootstrap_ci,results/openai--gpt-5.5_reasoning.csv,,acceptable_match,1836,0.7303921568627451,0.710239651416122,0.7505446623093682,,,
bootstrap_ci,results/openai--gpt-5.4-mini_reasoning.csv,,acceptable_match,1836,0.29302832244008714,0.27233115468409586,0.3137254901960784,,,
bootstrap_ci,results/deepseek--deepseek-v4-pro_reasoning.csv,,acceptable_match,1836,0.42320261437908496,0.4008714596949891,0.44607843137254904,,,
bootstrap_ci,results/moonshotai--kimi-k2.6_reasoning.csv,,acceptable_match,1836,0.2608932461873638,0.24074074074074073,0.28104575163398693,,,
bootstrap_ci,results/mistralai--mistral-small-2603_reasoning.csv,,acceptable_match,1836,0.18845315904139434,0.1710239651416122,0.20642701525054466,,,
bootstrap_ci,results/qwen--qwen3.7-plus_reasoning.csv,,acceptable_match,655,0.2900763358778626,0.2549618320610687,0.3251908396946565,,,
mcnemar_exact,results/google--gemini-3.1-flash-lite_reasoning.csv,results/google--gemini-3.8-flash_reasoning_batch.csv,acceptable_match,1836,,,,209,254,0.0407536748658425
mcnemar_exact,results/google--gemini-3.1-flash-lite_reasoning.csv,results/anthropic--claude-opus-4.8_reasoning.csv,acceptable_match,1836,,,,212,278,0.0032796753800606276
mcnemar_exact,results/google--gemini-3.1-flash-lite_reasoning.csv,results/anthropic--claude-sonnet-4.6_reasoning.csv,acceptable_match,1836,,,,298,174,1.2456204787836964e-08
mcnemar_exact,results/google--gemini-3.1-flash-lite_reasoning.csv,results/anthropic--claude-fable-5.1_reasoning_batch.csv,acceptable_match,1836,,,,224,205,0.38484367324561547
mcnemar_exact,results/google--gemini-3.1-flash-lite_reasoning.csv,results/openai--gpt-6-astra_reasoning_batch.csv,acceptable_match,1836,,,,32,732,7.698008780055197e-174
mcnemar_exact,results/google--gemini-3.1-flash-lite_reasoning.csv,results/openai--gpt-5.6-sol_reasoning_batch.csv,acceptable_match,1836,,,,52,660,3.948685309985825e-135
mcnemar_exact,results/google--gemini-3.1-flash-lite_reasoning.csv,results/openai--gpt-5.5_reasoning.csv,acceptable_match,1836,,,,49,563,1.0454032479130651e-111
mcnemar_exact,results/google--gemini-3.1-flash-lite_reasoning.csv,results/openai--gpt-5.4-mini_reasoning.csv,acceptable_match,1836,,,,382,93,1.2820860501172718e-42
mcnemar_exact,results/google--gemini-3.1-flash-lite_reasoning.csv,results/deepseek--deepseek-v4-pro_reasoning.csv,acceptable_match,1836,,,,275,225,0.028326160766195735
mcnemar_exact,results/google--gemini-3.1-flash-lite_reasoning.csv,results/moonshotai--kimi-k2.6_reasoning.csv,acceptable_match,1836,,,,433,85,3.6260040795119505e-57
mcnemar_exact,results/google--gemini-3.1-flash-lite_reasoning.csv,results/mistralai--mistral-small-2603_reasoning.csv,acceptable_match,1836,,,,535,54,1.4950639430667666e-100
mcnemar_exact,results/google--gemini-3.1-flash-lite_reasoning.csv,results/qwen--qwen3.7-plus_reasoning.csv,acceptable_match,655,,,,200,23,2.051678698894066e-36
mcnemar_exact,results/google--gemini-3.8-flash_reasoning_batch.csv,results/anthropic--claude-opus-4.8_reasoning.csv,acceptable_match,1836,,,,244,265,0.3753735032383159
mcnemar_exact,results/google--gemini-3.8-flash_reasoning_batch.csv,results/anthropic--claude-sonnet-4.6_reasoning.csv,acceptable_match,1836,,,,347,178,1.4043583812082015e-13
mcnemar_exact,results/google--gemini-3.8-flash_reasoning_batch.csv,results/anthropic--claude-fable-5.1_reasoning_batch.csv,acceptable_match,1836,,,,265,201,0.0034738160454748364
mcnemar_exact,results/google--gemini-3.8-flash_reasoning_batch.csv,results/openai--gpt-6-astra_reasoning_batch.csv,acceptable_match,1836,,,,43,698,2.2218095381941579e-153
mcnemar_exact,results/google--gemini-3.8-flash_reasoning_batch.csv,results/openai--gpt-5.6-sol_reasoning_batch.csv,acceptable_match,1836,,,,68,631,3.141627206829563e-115
mcnemar_exact,results/google--gemini-3.8-flash_reasoning_batch.csv,results/openai--gpt-5.5_reasoning.csv,acceptable_match,1836,,,,70,539,1.2217402332633754e-90
mcnemar_exact,results/google--gemini-3.8-flash_reasoning_batch.csv,results/openai--gpt-5.4-mini_reasoning.csv,acceptable_match,1836,,,,418,84,2.6361196790641293e-54
mcnemar_exact,results/google--gemini-3.8-flash_reasoning_batch.csv,results/deepseek--deepseek-v4-pro_reasoning.csv,acceptable_match,1836,,,,288,193,1.7148479797835877e-05
mcnemar_exact,results/google--gemini-3.8-flash_reasoning_batch.csv,results/moonshotai--kimi-k2.6_reasoning.csv,acceptable_match,1836,,,,488,95,1.2487414554614764e-64
mcnemar_exact,results/google--gemini-3.8-flash_reasoning_batch.csv,results/mistralai--mistral-small-2603_reasoning.csv,acceptable_match,1836,,,,584,58,2.498666395688052e-110
mcnemar_exact,results/google--gemini-3.8-flash_reasoning_batch.csv,results/qwen--qwen3.7-plus_reasoning.csv,acceptable_match,655,,,,230,19,3.299216390663723e-47
mcnemar_exact,results/anthropic--claude-opus-4.8_reasoning.csv,results/anthropic--claude-sonnet-4.6_reasoning.csv,acceptable_match,1836,,,,333,143,1.6053931435677512e-18
mcnemar_exact,results/anthropic--claude-opus-4.8_reasoning.csv,results/anthropic--claude-fable-5.1_reasoning_batch.csv,acceptable_match,1836,,,,304,219,0.0002328291333097521
mcnemar_exact,results/anthropic--claude-opus-4.8_reasoning.csv,results/openai--gpt-6-astra_reasoning_batch.csv,acceptable_match,1836,,,,40,674,1.3961834671541378e-149
mcnemar_exact,results/anthropic--claude-opus-4.8_reasoning.csv,results/openai--gpt-5.6-sol_reasoning_batch.csv,acceptable_match,1836,,,,72,614,3.9741768985605486e-108
mcnemar_exact,results/anthropic--claude-opus-4.8_reasoning.csv,results/openai--gpt-5.5_reasoning.csv,acceptable_match,1836,,,,70,518,1.8953645608895607e-85
mcnemar_exact,results/anthropic--claude-opus-4.8_reasoning.csv,results/openai--gpt-5.4-mini_reasoning.csv,acceptable_match,1836,,,,451,96,5.490531290434655e-56
mcnemar_exact,results/anthropic--claude-opus-4.8_reasoning.csv,results/deepseek--deepseek-v4-pro_reasoning.csv,acceptable_match,1836,,,,311,195,2.837341566211245e-07
mcnemar_exact,results/anthropic--claude-opus-4.8_reasoning.csv,results/moonshotai--kimi-k2.6_reasoning.csv,acceptable_match,1836,,,,496,82,3.6574627796264335e-73
mcnemar_exact,results/anthropic--claude-opus-4.8_reasoning.csv,results/mistralai--mistral-small-2603_reasoning.csv,acceptable_match,1836,,,,600,53,2.4313936316906236e-118
mcnemar_exact,results/anthropic--claude-opus-4.8_reasoning.csv,results/qwen--qwen3.7-plus_reasoning.csv,acceptable_match,655,,,,205,29,7.944298414843817e-34
mcnemar_exact,results/anthropic--claude-sonnet-4.6_reasoning.csv,results/anthropic--claude-fable-5.1_reasoning_batch.csv,acceptable_match,1836,,,,180,285,1.2822778567569615e-06
